# t,q1,q2,q3,q4,q5,q6,q7,m1,m2,m3,m4,m5,m6,m7,px,py,pz,is_policy
1.788370392168361902e+09,-1.960000023245811462e-02,-3.222923576831817627e-01,-5.324603989720344543e-04,5.739243030548095703e-01,-4.641151130199432373e-01,1.197140663862228394e-02,-8.381567001342773438e-01,2.498664835584030186e-02,-2.779049362935843703e-01,1.354238193331802620e-02,5.369268329900069858e-01,-4.613946746013581901e-01,1.773861295490952728e-02,-7.684824902723743634e-01,3.542529544234275796e-01,2.302507092803716682e-01,4.229467332363128773e-01,1.000000000000000000e+00
1.788370392312119484e+09,-3.716538846492767334e-02,-3.123425543308258057e-01,1.552723115310072899e-03,5.967462658882141113e-01,-4.594811201095581055e-01,2.105179801583290100e-02,-8.619211912155151367e-01,2.422369726100548348e-02,-2.779049362935843703e-01,1.354238193331802620e-02,5.369268329900069858e-01,-4.613946746013581901e-01,1.773861295490952728e-02,-7.688639658197917726e-01,3.375150102376937578e-01,2.230118221044540550e-01,4.195755982398986506e-01,1.000000000000000000e+00
1.788370392562017679e+09,-6.534908711910247803e-02,-2.965680956840515137e-01,5.813332740217447281e-03,6.340509653091430664e-01,-4.511724710464477539e-01,3.482434898614883423e-02,-9.005994796752929688e-01,-8.964675364309115935e-03,-2.771419851987495520e-01,1.354238193331802620e-02,5.518043793392859442e-01,-4.610131990539407809e-01,1.850156404974434565e-02,-7.921339742122537331e-01,3.294241178035736128e-01,2.289326096326113058e-01,4.350587135553359852e-01,1.000000000000000000e+00
1.788370392812142849e+09,-1.007540673017501831e-01,-2.770270705223083496e-01,1.257874257862567902e-02,6.797262430191040039e-01,-4.393416047096252441e-01,5.166031792759895325e-02,-9.482222795486450195e-01,-3.452353704127553158e-02,-2.599755855649661385e-01,1.392385748073543539e-02,5.891889829861920447e-01,-4.579613946746015074e-01,2.803845273517957537e-02,-8.371480888075080173e-01,3.231704824267355725e-01,2.319464211213103089e-01,4.163021417767793775e-01,1.000000000000000000e+00
1.788370393062989712e+09,-1.360929161310195923e-01,-2.541677355766296387e-01,2.095366455614566803e-02,7.254341840744018555e-01,-4.247283339500427246e-01,7.319528609514236450e-02,-1.000179409980773926e+00,-6.847486076142494937e-02,-2.477683680476090444e-01,1.392385748073543539e-02,6.372549019607856025e-01,-4.568169680323492798e-01,3.681239032577998671e-02,-8.844510566872667567e-01,3.150656386135728959e-01,2.411215673481854893e-01,4.004867000036357316e-01,1.000000000000000000e+00
1.788370393313103437e+09,-1.622918248176574707e-01,-2.298607677221298218e-01,2.782914415001869202e-02,7.633503079414367676e-01,-4.095331728458404541e-01,1.014384850859642029e-01,-1.053008317947387695e+00,-1.009002822919047304e-01,-2.241168841077296747e-01,1.964599069199657322e-02,6.811245899137876592e-01,-4.377431906614788204e-01,6.618600747692049424e-02,-9.447241931792174086e-01,3.119021428817481123e-01,2.522438072963524291e-01,3.841683645097770938e-01,1.000000000000000000e+00
1.788370393563485622e+09,-1.764907389879226685e-01,-2.062516510486602783e-01,3.116305917501449585e-02,7.912503480911254883e-01,-3.958055973052978516e-01,1.350104361772537231e-01,-1.104270100593566895e+00,-1.199740596627751898e-01,-2.069504844739462612e-01,3.070878156710143969e-02,7.211795223926156240e-01,-4.224841687647824529e-01,9.403372243839136502e-02,-9.958419165331502398e-01,3.076377459724061181e-01,2.648022262282526129e-01,3.691983600698818258e-01,1.000000000000000000e+00
1.788370393813239813e+09,-1.786896586418151855e-01,-1.844499409198760986e-01,3.006439097225666046e-02,8.089526295661926270e-01,-3.848702311515808105e-01,1.720366179943084717e-01,-1.152395009994506836e+00,-1.317998016327148747e-01,-1.829175249866477060e-01,3.185320820935366726e-02,7.471198596169994488e-01,-4.125658045319298139e-01,1.272220950637059644e-01,-1.047341115434500480e+00,3.045286518459228708e-01,2.762742883819161444e-01,3.531134191730321281e-01,1.000000000000000000e+00
1.788370394069940805e+09,-1.688885688781738281e-01,-1.651122421026229858e-01,2.399472706019878387e-02,8.159207105636596680e-01,-3.778639137744903564e-01,2.108575105667114258e-01,-1.195752978324890137e+00,-1.371404592965586033e-01,-1.684214541847861568e-01,3.185320820935366726e-02,7.654306858930350899e-01,-4.060807202258338577e-01,1.649881742580294741e-01,-1.091973754482337355e+00,3.028720270729363118e-01,2.884250014544623153e-01,3.373141860843603124e-01,1.000000000000000000e+00
1.788370394313881159e+09,-1.470874845981597900e-01,-1.488387584686279297e-01,1.239748764783143997e-02,8.111053109169006348e-01,-3.760345578193664551e-01,2.497336864471435547e-01,-1.232187509536743164e+00,-1.333257038223845115e-01,-1.508735790035853341e-01,3.185320820935366726e-02,7.734416723888006828e-01,-4.030289158464945842e-01,2.100022888532837584e-01,-1.136224917982756821e+00,3.034496798485937785e-01,3.008436587341309920e-01,3.216475569433834281e-01,1.000000000000000000e+00
1.788370394564192772e+09,-1.133982315659523010e-01,-1.362266689538955688e-01,-5.105217918753623962e-03,7.925046086311340332e-01,-3.808369934558868408e-01,2.863662838935852051e-01,-1.258018016815185547e+00,-1.115815976195921877e-01,-1.356145571068889666e-01,1.850156404974434565e-02,7.734416723888006828e-01,-3.892957961394678534e-01,2.485313191424420864e-01,-1.177805752651254423e+00,3.080266031130495241e-01,3.100593229983616972e-01,3.044975334565113156e-01,1.000000000000000000e+00
1.788370394814119101e+09,-7.083769887685775757e-02,-1.274712681770324707e-01,-2.726416103541851044e-02,7.580511569976806641e-01,-3.928879201412200928e-01,3.176145553588867188e-01,-1.268572568893432617e+00,-8.068207827878204341e-02,-1.272220950637059644e-01,2.098115510795750538e-03,7.734416723888006828e-01,-3.889143205920504442e-01,2.924010070954441431e-01,-1.196498054474707473e+00,3.160230040896694903e-01,3.162754529725246844e-01,2.872517426783120498e-01,1.000000000000000000e+00
1.788370395072314978e+09,-2.865517139434814453e-02,-1.223533973097801208e-01,-4.942873120307922363e-02,7.082253098487854004e-01,-4.103571474552154541e-01,3.393442928791046143e-01,-1.258696556091308594e+00,-4.062714579995407860e-02,-1.161593041886010980e-01,-2.727550164034475699e-02,7.501716639963387223e-01,-3.965438315403986280e-01,3.191042954146627864e-01,-1.212520027466238659e+00,3.285565811663934688e-01,3.186839923079366477e-01,2.718534186158826360e-01,1.000000000000000000e+00
1.788370395314928055e+09,2.648951951414346695e-03,-1.201604902744293213e-01,-6.590265780687332153e-02,6.507309675216674805e-01,-4.282116293907165527e-01,3.502876162528991699e-01,-1.229207515716552734e+00,-4.768444342717614859e-03,-1.131074998092618245e-01,-4.901960784313708075e-02,6.982909895475710726e-01,-4.163805600061039058e-01,3.439002059967943836e-01,-1.211757076371403841e+00,3.370797532898703319e-01,3.184745933978775922e-01,2.537616611266265698e-01,1.000000000000000000e+00
1.788370395564801931e+09,2.195307612419128418e-02,-1.188632100820541382e-01,-7.479945570230484009e-02,5.948726534843444824e-01,-4.422717988491058350e-01,3.540361821651458740e-01,-1.191976904869079590e+00,1.964599069199657322e-02,-1.104371709773399601e-01,-6.466010528725085749e-02,6.410696574349596943e-01,-4.247730220492869080e-01,3.450446326390466112e-01,-1.180476081483176287e+00,3.323072719821267285e-01,3.010220055512010662e-01,2.452393023204463840e-01,1.000000000000000000e+00
1.788370395814919710e+09,2.925720065832138062e-02,-1.171256899833679199e-01,-7.501357048749923706e-02,5.455920696258544922e-01,-4.503013491630554199e-01,3.520919382572174072e-01,-1.154326796531677246e+00,3.261615930418848563e-02,-1.108186465247573693e-01,-7.343404287785126883e-02,5.838483253223483160e-01,-4.427023727779051399e-01,3.465705348287162479e-01,-1.149576562142366143e+00,3.256850449507562306e-01,2.831350076581892194e-01,2.512560635356165251e-01,1.000000000000000000e+00
1.788370396070073843e+09,2.456132508814334869e-02,-1.142134293913841248e-01,-6.576797366142272949e-02,5.071175694465637207e-01,-4.505262672901153564e-01,3.453150689601898193e-01,-1.122303128242492676e+00,3.376058594644071320e-02,-1.100556954299225509e-01,-7.343404287785126883e-02,5.395971618219288501e-01,-4.465171282520792317e-01,3.480964370183858847e-01,-1.112954909590294861e+00,3.180716302444017707e-01,2.684601103777096154e-01,2.625114314246034253e-01,1.000000000000000000e+00
1.788370396315544367e+09,8.743972517549991608e-03,-1.095329150557518005e-01,-4.665889590978622437e-02,4.832611680030822754e-01,-4.414714872837066650e-01,3.347778022289276123e-01,-1.102059364318847656e+00,2.841992828259698456e-02,-1.070038910505832774e-01,-7.305256733043385964e-02,5.014496070801879313e-01,-4.503318837262533236e-01,3.461890592812988388e-01,-1.079003585870145443e+00,3.108228598458786518e-01,2.546284709924263034e-01,2.750070738500641765e-01,1.000000000000000000e+00
1.788370396566184521e+09,-1.406244095414876938e-02,-1.031754165887832642e-01,-1.837480999529361725e-02,4.754047691822052002e-01,-4.225904047489166260e-01,3.220321834087371826e-01,-1.099072933197021484e+00,1.316090638590061701e-02,-9.594110017547841096e-02,-5.245288776989376345e-02,4.770351720454737432e-01,-4.488059815365836869e-01,3.427557793545421561e-01,-1.058022430762187938e+00,2.953447490930556918e-01,2.435766038298607106e-01,2.781032770872116089e-01,1.000000000000000000e+00
1.788370396815787315e+09,-3.637742251157760620e-02,-1.011312380433082581e-01,1.163409836590290070e-02,4.785994589328765869e-01,-3.986407220363616943e-01,3.100949823856353760e-01,-1.111575961112976074e+00,-7.820248722056888369e-03,-9.212634470130431907e-02,-2.231631952391843754e-02,4.690241855497081502e-01,-4.354543373769743653e-01,3.366521705958636090e-01,-1.053063248645761618e+00,2.897514874138685803e-01,2.612405487869995380e-01,2.705733054843895147e-01,1.000000000000000000e+00
1.788370397068730831e+09,-5.153868347406387329e-02,-1.091281473636627197e-01,3.124189376831054688e-02,4.815300405025482178e-01,-3.797378540039062500e-01,3.032471835613250732e-01,-1.129407405853271484e+00,-2.880140383001439375e-02,-9.288929579613913745e-02,8.583199816891706746e-03,4.686427100022907410e-01,-4.114213778896775864e-01,3.233005264362542874e-01,-1.053826199740596437e+00,2.916323234739078840e-01,2.808143667362575369e-01,2.669225375371540587e-01,1.000000000000000000e+00
1.788370397317024946e+09,-6.016459688544273376e-02,-1.256627142429351807e-01,3.638614341616630554e-02,4.794115126132965088e-01,-3.705544173717498779e-01,3.029448390007019043e-01,-1.147075414657592773e+00,-4.024567025253666941e-02,-9.975585564965250285e-02,2.727550164034475699e-02,4.686427100022907410e-01,-3.858625162127111707e-01,3.168154421301583312e-01,-1.074425879301136533e+00,2.959916085775858297e-01,3.003018256801642805e-01,2.658109722919253515e-01,1.000000000000000000e+00
1.788370397567261219e+09,-6.563044339418411255e-02,-1.465777456760406494e-01,2.959731966257095337e-02,4.731221795082092285e-01,-3.707413375377655029e-01,3.064242899417877197e-01,-1.161240100860595703e+00,-4.711223010605003481e-02,-1.165407797360185072e-01,3.261615930418848563e-02,4.686427100022907410e-01,-3.774700541695281686e-01,3.145265888456538761e-01,-1.083199816891736944e+00,2.962075796859310328e-01,3.201361955252092772e-01,2.632514548900838913e-01,1.000000000000000000e+00
1.788370397817665339e+09,-6.752479821443557739e-02,-1.651615351438522339e-01,1.548558473587036133e-02,4.626925587654113770e-01,-3.783111274242401123e-01,3.102116584777832031e-01,-1.170523881912231445e+00,-5.359731441214599101e-02,-1.359960326543063758e-01,3.261615930418848563e-02,4.678797589074559227e-01,-3.732738231479366675e-01,3.145265888456538761e-01,-1.099221789883268130e+00,2.863408672809600874e-01,3.253321120142936840e-01,2.572053754329681752e-01,1.000000000000000000e+00
1.788370398072723150e+09,-6.511067599058151245e-02,-1.742971539497375488e-01,9.619041811674833298e-04,4.515469074249267578e-01,-3.881997764110565186e-01,3.128420114517211914e-01,-1.180377602577209473e+00,-5.512321660181562777e-02,-1.527809567406723801e-01,2.498664835584030186e-02,4.594872968642729205e-01,-3.709849698634322124e-01,3.149080643930712853e-01,-1.106469825284198905e+00,2.707050293342880276e-01,3.148976014992471151e-01,2.640348382241980429e-01,1.000000000000000000e+00
1.788370398318452597e+09,-6.114454567432403564e-02,-1.728189289569854736e-01,-7.773032411932945251e-03,4.441950917243957520e-01,-3.942925035953521729e-01,3.141219913959503174e-01,-1.196752548217773438e+00,-5.512321660181562777e-02,-1.592660410467683363e-01,4.386968795300205670e-03,4.476615548943332357e-01,-3.786144808117803962e-01,3.149080643930712853e-01,-1.125162127107651955e+00,2.701276677026375750e-01,2.969344380599017175e-01,2.728093132966831758e-01,1.000000000000000000e+00
1.788370398568756580e+09,-5.676313489675521851e-02,-1.645699590444564819e-01,-7.989265955984592438e-03,4.420121908187866211e-01,-3.935581445693969727e-01,3.142955303192138672e-01,-1.220662355422973633e+00,-5.512321660181562777e-02,-1.615548943312727914e-01,-2.098115510795750538e-03,4.446097505149939622e-01,-3.816662851911196697e-01,3.152895399404886945e-01,-1.135461966887922003e+00,2.684571191005232227e-01,2.793316110121026319e-01,2.821554219678493181e-01,1.000000000000000000e+00
1.788370398819191694e+09,-5.073538050055503845e-02,-1.555240750312805176e-01,-2.327609108760952950e-03,4.419289529323577881e-01,-3.876129388809204102e-01,3.134592175483703613e-01,-1.247520923614501953e+00,-5.474174105439821858e-02,-1.607919432364379730e-01,-2.098115510795750538e-03,4.388876173037328243e-01,-3.816662851911196697e-01,3.152895399404886945e-01,-1.159876401922636191e+00,2.692676669359206909e-01,2.782619833201170345e-01,2.769391095638275013e-01,1.000000000000000000e+00
1.788370399071873188e+09,-4.329962655901908875e-02,-1.515608280897140503e-01,2.528012963011860847e-03,4.386400282382965088e-01,-3.820554018020629883e-01,3.121685981750488281e-01,-1.269830107688903809e+00,-5.245288776989376345e-02,-1.470588235294112422e-01,-2.098115510795750538e-03,4.388876173037328243e-01,-3.809033340962848513e-01,3.152895399404886945e-01,-1.185435263599602607e+00,2.687339536323245515e-01,2.937626574933479007e-01,2.643119859687683704e-01,1.000000000000000000e+00
1.788370399319252253e+09,-3.648984059691429138e-02,-1.524579226970672607e-01,6.246087606996297836e-03,4.309363961219787598e-01,-3.775801062583923340e-01,3.094334900379180908e-01,-1.284313440322875977e+00,-4.673075455863262562e-02,-1.443884946974893779e-01,-2.098115510795750538e-03,4.381246662088980059e-01,-3.801403830014500329e-01,3.152895399404886945e-01,-1.204890516517890475e+00,2.722663033008575484e-01,2.981190847605467154e-01,2.536115157604217352e-01,1.000000000000000000e+00
1.788370399569744825e+09,-3.175139427185058594e-02,-1.556851416826248169e-01,1.093479245901107788e-02,4.209371805191040039e-01,-3.722207844257354736e-01,3.049079477787017822e-01,-1.293320775032043457e+00,-3.833829251544962347e-02,-1.447699702449067871e-01,-9.536888685435229718e-04,4.324025329976368681e-01,-3.778515297169455778e-01,3.149080643930712853e-01,-1.223582818341343526e+00,2.700773847103118408e-01,2.971593541651964543e-01,2.528080153465270818e-01,1.000000000000000000e+00
1.788370399819963455e+09,-2.895325422286987305e-02,-1.602633148431777954e-01,1.484413072466850281e-02,4.111406505107879639e-01,-3.671800792217254639e-01,3.007038533687591553e-01,-1.300608634948730469e+00,-3.337911039902330401e-02,-1.447699702449067871e-01,6.294346532387251614e-03,4.182879377431927281e-01,-3.774700541695281686e-01,3.145265888456538761e-01,-1.231212329289691709e+00,2.660012650489806951e-01,2.978049131482839451e-01,2.544658946990966952e-01,1.000000000000000000e+00
1.788370400073247910e+09,-2.750160172581672668e-02,-1.645740419626235962e-01,1.766375266015529633e-02,4.028459191322326660e-01,-3.628192543983459473e-01,2.975988984107971191e-01,-1.308327436447143555e+00,-3.299763485160589482e-02,-1.478217746242460606e-01,6.294346532387251614e-03,4.098954757000097260e-01,-3.698405432211799848e-01,3.141451132982364669e-01,-1.238078889143205075e+00,2.638671362400054621e-01,2.947940879315137930e-01,2.569866502285003684e-01,1.000000000000000000e+00
1.788370400320419073e+09,-2.664938941597938538e-02,-1.677938252687454224e-01,1.758082956075668335e-02,3.960871696472167969e-01,-3.609880506992340088e-01,2.963686883449554443e-01,-1.316798925399780273e+00,-3.299763485160589482e-02,-1.504921034561679249e-01,1.316090638590061701e-02,4.003585870145744963e-01,-3.664072632944233021e-01,3.065156023498882831e-01,-1.241130693522544348e+00,2.594534897804260387e-01,2.981914981454610869e-01,2.582853114604950484e-01,1.000000000000000000e+00
1.788370400571321964e+09,-2.648973464965820312e-02,-1.693717688322067261e-01,1.562044955790042877e-02,3.902394771575927734e-01,-3.610066175460815430e-01,2.960974276065826416e-01,-1.325056195259094238e+00,-3.299763485160589482e-02,-1.516365300984201525e-01,1.316090638590061701e-02,3.984512092774874503e-01,-3.629739833676666194e-01,2.981231403067052810e-01,-1.242275120164796576e+00,2.619006496667861672e-01,2.971777992695570081e-01,2.572857582569122448e-01,1.000000000000000000e+00
1.788370400821778536e+09,-2.682321704924106598e-02,-1.697120219469070435e-01,1.440919283777475357e-02,3.850274980068206787e-01,-3.605170547962188721e-01,2.960193753242492676e-01,-1.332799553871154785e+00,-3.261615930418848563e-02,-1.531624322880897893e-01,1.316090638590061701e-02,3.873884184023790311e-01,-3.622110322728318010e-01,2.973601892118704626e-01,-1.263637750820171490e+00,2.603958219289779219e-01,2.958057510107755528e-01,2.578415930271149015e-01,1.000000000000000000e+00
1.788370401073646784e+09,-2.721811644732952118e-02,-1.697797328233718872e-01,1.397113595157861710e-02,3.804368972778320312e-01,-3.594516813755035400e-01,2.957441210746765137e-01,-1.340212821960449219e+00,-3.299763485160589482e-02,-1.531624322880897893e-01,1.316090638590061701e-02,3.854810406652919852e-01,-3.622110322728318010e-01,2.973601892118704626e-01,-1.264400701915006309e+00,2.600337088108062300e-01,2.953327675908803962e-01,2.582852590084075972e-01,1.000000000000000000e+00
1.788370401321457624e+09,-2.764673903584480286e-02,-1.699129641056060791e-01,1.429018005728721619e-02,3.763803243637084961e-01,-3.578062355518341064e-01,2.955347895622253418e-01,-1.347137689590454102e+00,-3.299763485160589482e-02,-1.531624322880897893e-01,1.316090638590061701e-02,3.789959563591960290e-01,-3.622110322728318010e-01,2.969787136644530534e-01,-1.272411688410771902e+00,2.597755354642867776e-01,2.940946245938539372e-01,2.585632681846619096e-01,1.000000000000000000e+00
1.788370401571865320e+09,-2.808146737515926361e-02,-1.702525764703750610e-01,1.511156465858221054e-02,3.724637925624847412e-01,-3.557322025299072266e-01,2.950975298881530762e-01,-1.353039145469665527e+00,-3.299763485160589482e-02,-1.531624322880897893e-01,1.316090638590061701e-02,3.789959563591960290e-01,-3.618295567254143918e-01,2.965972381170356442e-01,-1.282711528191041950e+00,2.603209984302520263e-01,2.948530989885330134e-01,2.574078667163849365e-01,1.000000000000000000e+00
1.788370401822089672e+09,-2.876563183963298798e-02,-1.700817197561264038e-01,1.864513382315635681e-02,3.692941367626190186e-01,-3.511858582496643066e-01,2.936665713787078857e-01,-1.358558893203735352e+00,-3.299763485160589482e-02,-1.585030899519335179e-01,1.316090638590061701e-02,3.725108720531000728e-01,-3.587777523460751183e-01,2.962157625696182350e-01,-1.284237430380711587e+00,2.616712528467177723e-01,2.859823831170797415e-01,2.604384565353393688e-01,1.000000000000000000e+00
1.788370402073863029e+09,-2.914514578878879547e-02,-1.702168136835098267e-01,2.397169731557369232e-02,3.672079741954803467e-01,-3.449048399925231934e-01,2.913949191570281982e-01,-1.364297866821289062e+00,-3.299763485160589482e-02,-1.661326009002817017e-01,1.316090638590061701e-02,3.698405432211782085e-01,-3.515297169451443438e-01,2.958342870222008258e-01,-1.293392843518729407e+00,2.594215989112853560e-01,2.853575263172388188e-01,2.626176571846008390e-01,1.000000000000000000e+00
