# t,q1,q2,q3,q4,q5,q6,q7,m1,m2,m3,m4,m5,m6,m7,px,py,pz,is_policy
1.788367838986052513e+09,-1.381810382008552551e-02,-3.248212039470672607e-01,-6.893595564179122448e-04,5.678888559341430664e-01,-4.651743769645690918e-01,8.834295906126499176e-03,-8.319532275199890137e-01,2.231631952391843754e-02,-2.801937895780888255e-01,1.354238193331802620e-02,5.388342107270940318e-01,-4.610131990539407809e-01,1.735713740749211809e-02,-7.722972457465484553e-01,2.440827703475951793e-01,1.149206191301346269e-01,5.365160322189330699e-01,1.000000000000000000e+00
1.788367838990320444e+09,-1.409271545708179474e-02,-3.240014016628265381e-01,-2.950235211756080389e-04,5.696249604225158691e-01,-4.647673666477203369e-01,8.861806243658065796e-03,-8.338584899902343750e-01,2.231631952391843754e-02,-2.801937895780888255e-01,1.354238193331802620e-02,5.388342107270940318e-01,-4.610131990539407809e-01,1.735713740749211809e-02,-7.722972457465484553e-01,2.440827703475951793e-01,1.149206191301346269e-01,5.365160322189330699e-01,0.000000000000000000e+00
1.788367839035657644e+09,-1.493870280683040619e-02,-3.213671147823333740e-01,1.054103020578622818e-03,5.751804709434509277e-01,-4.634099304676055908e-01,8.891387842595577240e-03,-8.399257659912109375e-01,2.231631952391843754e-02,-2.801937895780888255e-01,1.354238193331802620e-02,5.388342107270940318e-01,-4.610131990539407809e-01,1.735713740749211809e-02,-7.722972457465484553e-01,2.430587985930914019e-01,1.168889279472976050e-01,5.166394821599752385e-01,1.000000000000000000e+00
1.788367839071366310e+09,-1.550614088773727417e-02,-3.195405602455139160e-01,2.034035511314868927e-03,5.789998769760131836e-01,-4.624410271644592285e-01,8.885109797120094299e-03,-8.440878391265869141e-01,2.231631952391843754e-02,-2.801937895780888255e-01,1.354238193331802620e-02,5.388342107270940318e-01,-4.610131990539407809e-01,1.735713740749211809e-02,-7.722972457465484553e-01,2.430587985930914019e-01,1.168889279472976050e-01,5.166394821599752385e-01,0.000000000000000000e+00
1.788367839115858078e+09,-1.690823584794998169e-02,-3.148009181022644043e-01,4.729542881250381470e-03,5.887220501899719238e-01,-4.598374068737030029e-01,8.826417848467826843e-03,-8.546749949455261230e-01,2.231631952391843754e-02,-2.801937895780888255e-01,1.354238193331802620e-02,5.388342107270940318e-01,-4.610131990539407809e-01,1.735713740749211809e-02,-7.726787212939658644e-01,2.419613983528184076e-01,1.194783435818871087e-01,4.968382034289439142e-01,1.000000000000000000e+00
1.788367839154058218e+09,-1.775220409035682678e-02,-3.118715286254882812e-01,6.489156745374202728e-03,5.946248173713684082e-01,-4.581708908081054688e-01,8.772286586463451385e-03,-8.610907793045043945e-01,2.231631952391843754e-02,-2.798123140306714163e-01,1.354238193331802620e-02,5.388342107270940318e-01,-4.610131990539407809e-01,1.735713740749211809e-02,-7.730601968413832736e-01,2.419613983528184076e-01,1.194783435818871087e-01,4.968382034289439142e-01,0.000000000000000000e+00
1.788367839204725981e+09,-1.975448057055473328e-02,-3.047754764556884766e-01,1.097747590392827988e-02,6.085025668144226074e-01,-4.540100097656250000e-01,8.609060198068618774e-03,-8.761632442474365234e-01,2.231631952391843754e-02,-2.794308384832540071e-01,1.354238193331802620e-02,5.392156862745114410e-01,-4.610131990539407809e-01,1.735713740749211809e-02,-7.764934767681399563e-01,2.411475396556157225e-01,1.222890460132337875e-01,4.770534217555614798e-01,1.000000000000000000e+00
1.788367839235383749e+09,-2.093965746462345123e-02,-3.006073236465454102e-01,1.374354492872953415e-02,6.164278984069824219e-01,-4.514915049076080322e-01,8.498382754623889923e-03,-8.847505450248718262e-01,2.231631952391843754e-02,-2.790493629358365979e-01,1.354238193331802620e-02,5.392156862745114410e-01,-4.610131990539407809e-01,1.735713740749211809e-02,-7.768749523155573655e-01,2.411475396556157225e-01,1.222890460132337875e-01,4.770534217555614798e-01,0.000000000000000000e+00
1.788367839278409958e+09,-2.369417436420917511e-02,-2.910824418067932129e-01,2.035384997725486755e-02,6.339216828346252441e-01,-4.455786645412445068e-01,8.234610781073570251e-03,-9.036737084388732910e-01,2.193484397650102835e-02,-2.775234607461669611e-01,1.354238193331802620e-02,5.418860151064333053e-01,-4.606317235065233717e-01,1.735713740749211809e-02,-7.795452811474792298e-01,2.415997543113903856e-01,1.261298581187843826e-01,4.574308922480041506e-01,1.000000000000000000e+00
1.788367839314076900e+09,-2.526976913213729858e-02,-2.857643663883209229e-01,2.420197241008281708e-02,6.433732509613037109e-01,-4.421864151954650879e-01,8.091634139418601990e-03,-9.138776063919067383e-01,2.231631952391843754e-02,-2.740901808194102784e-01,1.392385748073543539e-02,5.491340505073640799e-01,-4.606317235065233717e-01,1.735713740749211809e-02,-7.925154497596711423e-01,2.415997543113903856e-01,1.261298581187843826e-01,4.574308922480041506e-01,0.000000000000000000e+00
1.788367839358603954e+09,-2.878028526902198792e-02,-2.740991413593292236e-01,3.303398936986923218e-02,6.633632779121398926e-01,-4.344919919967651367e-01,7.832609117031097412e-03,-9.354665875434875488e-01,2.231631952391843754e-02,-2.679865720607317314e-01,1.430533302815284458e-02,5.601968413824689463e-01,-4.602502479591059625e-01,1.735713740749211809e-02,-8.028152895399411904e-01,2.437579658189855947e-01,1.305639915236468662e-01,4.380484108785724917e-01,1.000000000000000000e+00
1.788367839394249678e+09,-3.069655038416385651e-02,-2.677960097789764404e-01,3.802247717976570129e-02,6.737936139106750488e-01,-4.301826655864715576e-01,7.740129251033067703e-03,-9.467478394508361816e-01,2.193484397650102835e-02,-2.603570611123835477e-01,1.964599069199657322e-02,5.754558632791653139e-01,-4.602502479591059625e-01,1.773861295490952728e-02,-8.222705424582290590e-01,2.437579658189855947e-01,1.305639915236468662e-01,4.380484108785724917e-01,0.000000000000000000e+00
1.788367839437785625e+09,-3.478655964136123657e-02,-2.542896866798400879e-01,4.909871891140937805e-02,6.952127814292907715e-01,-4.206953644752502441e-01,7.716540712863206863e-03,-9.700441956520080566e-01,2.079041733424880078e-02,-2.527275501640353639e-01,2.803845273517957537e-02,5.937666895552009549e-01,-4.571984435797666890e-01,1.773861295490952728e-02,-8.379110399023428357e-01,2.483307667660178686e-01,1.371287914051769474e-01,4.197183019314253416e-01,1.000000000000000000e+00
1.788367839473963499e+09,-3.692184016108512878e-02,-2.471273690462112427e-01,5.515975877642631531e-02,7.060970664024353027e-01,-4.155345559120178223e-01,7.807092275470495224e-03,-9.819825887680053711e-01,1.697566186007470890e-02,-2.431906614786001342e-01,3.719386587319739590e-02,6.094071869993147317e-01,-4.560540169375144615e-01,1.773861295490952728e-02,-8.550774395361262492e-01,2.483307667660178686e-01,1.371287914051769474e-01,4.197183019314253416e-01,0.000000000000000000e+00
1.788367839517912626e+09,-4.137752577662467957e-02,-2.321470826864242554e-01,6.845404207706451416e-02,7.279590964317321777e-01,-4.042275249958038330e-01,8.170671761035919189e-03,-1.006195306777954102e+00,1.163500419623098026e-02,-2.321278706034952677e-01,4.558632791638039805e-02,6.239032578011762809e-01,-4.491874570840010961e-01,1.735713740749211809e-02,-8.714808880750748443e-01,2.629380575317327717e-01,1.391595848888293463e-01,4.062089372419732114e-01,1.000000000000000000e+00
1.788367839553562880e+09,-4.366805404424667358e-02,-2.243971973657608032e-01,7.569547742605209351e-02,7.388414144515991211e-01,-3.980545103549957275e-01,8.478268049657344818e-03,-1.018394231796264648e+00,8.201724269474297557e-03,-2.218280308232252196e-01,5.436026550698080939e-02,6.414511329823771035e-01,-4.407949950408180939e-01,1.735713740749211809e-02,-8.875028610666060302e-01,2.629380575317327717e-01,1.391595848888293463e-01,4.062089372419732114e-01,0.000000000000000000e+00
1.788367839598779202e+09,-4.852192103862762451e-02,-2.085801661014556885e-01,9.138729423284530640e-02,7.605564594268798828e-01,-3.846049904823303223e-01,9.346880950033664703e-03,-1.042824745178222656e+00,5.531395437552433236e-03,-2.119096665903725807e-01,6.389715419241603911e-02,6.589990081635779262e-01,-4.320210574502176826e-01,1.697566186007470890e-02,-9.073395895323113081e-01,2.729712632471111844e-01,1.319396522979513209e-01,4.219317663912095506e-01,1.000000000000000000e+00
1.788367839634262800e+09,-5.109588801860809326e-02,-2.005907744169235229e-01,9.981279820203781128e-02,7.713655829429626465e-01,-3.773261010646820068e-01,9.935704059898853302e-03,-1.055001139640808105e+00,4.386968795300205670e-03,-2.031357289997721693e-01,7.419699397268608720e-02,6.750209811551091121e-01,-4.228656443121998620e-01,1.697566186007470890e-02,-9.256504158083469491e-01,2.729712632471111844e-01,1.319396522979513209e-01,4.219317663912095506e-01,0.000000000000000000e+00
1.788367839677983999e+09,-5.668259039521217346e-02,-1.845633834600448608e-01,1.177495345473289490e-01,7.929200530052185059e-01,-3.616932630538940430e-01,1.150311529636383057e-02,-1.079106330871582031e+00,5.722133211261137831e-04,-1.935988403143351633e-01,8.411535820553872611e-02,6.883726253147184337e-01,-4.186694132906083610e-01,1.964599069199657322e-02,-9.405279621576259075e-01,2.820704843666426709e-01,1.241318409934601269e-01,4.379393351526215117e-01,1.000000000000000000e+00
