# t,q1,q2,q3,q4,q5,q6,q7,m1,m2,m3,m4,m5,m6,m7,px,py,pz,is_policy
1.788368847022750378e+09,-1.401976495981216431e-02,-3.249878585338592529e-01,-8.580693975090980530e-04,5.678888559341430664e-01,-4.652988612651824951e-01,8.886547759175300598e-03,-8.318144679069519043e-01,1.392385748073543539e-02,-2.798123140306714163e-01,1.354238193331802620e-02,5.140383001449624345e-01,-4.613946746013581901e-01,3.624017700465387293e-03,-7.513160906385909499e-01,2.690495836734771440e-01,1.205161586403847018e-01,5.999999999999999778e-01,1.000000000000000000e+00
1.788368847026987553e+09,-1.454653311520814896e-02,-3.243719041347503662e-01,-6.754477508366107941e-04,5.696249604225158691e-01,-4.650473296642303467e-01,8.979962207376956940e-03,-8.335499167442321777e-01,1.392385748073543539e-02,-2.798123140306714163e-01,1.354238193331802620e-02,5.140383001449624345e-01,-4.613946746013581901e-01,3.624017700465387293e-03,-7.513160906385909499e-01,2.690495836734771440e-01,1.205161586403847018e-01,5.999999999999999778e-01,0.000000000000000000e+00
1.788368847072574377e+09,-1.620020158588886261e-02,-3.223840594291687012e-01,-2.925343869719654322e-05,5.751804709434509277e-01,-4.642094373703002930e-01,9.226437658071517944e-03,-8.390771746635437012e-01,1.392385748073543539e-02,-2.798123140306714163e-01,1.354238193331802620e-02,5.140383001449624345e-01,-4.613946746013581901e-01,3.624017700465387293e-03,-7.513160906385909499e-01,2.648004273502477246e-01,1.207403140700350208e-01,5.804578807473672608e-01,1.000000000000000000e+00
1.788368847108433008e+09,-1.732375659048557281e-02,-3.209992647171020508e-01,4.523410752881318331e-04,5.789998769760131836e-01,-4.636113047599792480e-01,9.371946565806865692e-03,-8.428688049316406250e-01,1.392385748073543539e-02,-2.798123140306714163e-01,1.354238193331802620e-02,5.140383001449624345e-01,-4.613946746013581901e-01,3.624017700465387293e-03,-7.516975661860083591e-01,2.648004273502477246e-01,1.207403140700350208e-01,5.804578807473672608e-01,0.000000000000000000e+00
1.788368847156042814e+09,-2.014155313372612000e-02,-3.173870742321014404e-01,1.812126021832227707e-03,5.887220501899719238e-01,-4.620072841644287109e-01,9.664871729910373688e-03,-8.525171875953674316e-01,1.392385748073543539e-02,-2.798123140306714163e-01,1.354238193331802620e-02,5.144197756923798437e-01,-4.613946746013581901e-01,3.624017700465387293e-03,-7.539864194705128142e-01,2.601312828016603129e-01,1.221021063993019684e-01,5.610582773793511002e-01,1.000000000000000000e+00
1.788368847190842628e+09,-2.184463292360305786e-02,-3.151437640190124512e-01,2.719908952713012695e-03,5.946248173713684082e-01,-4.609816074371337891e-01,9.800704196095466614e-03,-8.583656549453735352e-01,1.392385748073543539e-02,-2.798123140306714163e-01,1.354238193331802620e-02,5.155642023346320713e-01,-4.613946746013581901e-01,3.624017700465387293e-03,-7.631418326085306347e-01,2.601312828016603129e-01,1.221021063993019684e-01,5.610582773793511002e-01,0.000000000000000000e+00
1.788368847239576340e+09,-2.584930695593357086e-02,-3.097113072872161865e-01,5.116024054586887360e-03,6.085136532783508301e-01,-4.584016799926757812e-01,9.988536126911640167e-03,-8.721035718917846680e-01,1.392385748073543539e-02,-2.798123140306714163e-01,1.354238193331802620e-02,5.205233844510583907e-01,-4.613946746013581901e-01,4.005493247882796481e-03,-7.688639658197917726e-01,2.554947360122543087e-01,1.247251473846276715e-01,5.417807752107881569e-01,1.000000000000000000e+00
1.788368847270749807e+09,-2.818008698523044586e-02,-3.065035939216613770e-01,6.653969641774892807e-03,6.164997220039367676e-01,-4.568131566047668457e-01,1.002157945185899734e-02,-8.799731731414794922e-01,1.392385748073543539e-02,-2.794308384832540071e-01,1.354238193331802620e-02,5.292973220416588020e-01,-4.613946746013581901e-01,4.005493247882796481e-03,-7.703898680094614093e-01,2.554947360122543087e-01,1.247251473846276715e-01,5.417807752107881569e-01,0.000000000000000000e+00
1.788368847320106506e+09,-3.352057933807373047e-02,-2.990531027317047119e-01,1.051817927509546280e-02,6.344222426414489746e-01,-4.529838562011718750e-01,9.948129765689373016e-03,-8.975672721862792969e-01,1.354238193331802620e-02,-2.790493629358365979e-01,1.354238193331802620e-02,5.403601129167636685e-01,-4.610131990539407809e-01,4.005493247882796481e-03,-7.749675745784703196e-01,2.511901507161881097e-01,1.288035934211563260e-01,5.226800730416003571e-01,1.000000000000000000e+00
1.788368847349937439e+09,-3.653698414564132690e-02,-2.948295772075653076e-01,1.286740507930517197e-02,6.442571878433227539e-01,-4.507356584072113037e-01,9.869260713458061218e-03,-9.071708321571350098e-01,1.354238193331802620e-02,-2.767605096513321428e-01,1.354238193331802620e-02,5.537117570763729901e-01,-4.610131990539407809e-01,4.386968795300205670e-03,-7.890821698329144596e-01,2.511901507161881097e-01,1.288035934211563260e-01,5.226800730416003571e-01,0.000000000000000000e+00
