# t,q1,q2,q3,q4,q5,q6,q7,m1,m2,m3,m4,m5,m6,m7,px,py,pz,is_policy
1.788370176460626602e+09,-1.407389808446168900e-02,-3.223776221275329590e-01,1.465846202336251736e-03,5.744999647140502930e-01,-4.629757702350616455e-01,8.141780272126197815e-03,-8.392242193222045898e-01,1.163500419623098026e-02,-2.695124742504013682e-01,-1.907377737087045944e-04,5.380712596322592134e-01,-4.678797589074541463e-01,1.773861295490952728e-02,-7.719157701991310461e-01,2.200000000000000011e-01,1.000000000000000333e-01,5.674572038650512740e-01,1.000000000000000000e+00
1.788370176617459059e+09,-1.570906490087509155e-02,-3.130308091640472412e-01,9.163787588477134705e-03,5.984999537467956543e-01,-4.553038775920867920e-01,6.404701154679059982e-03,-8.650457262992858887e-01,1.163500419623098026e-02,-2.695124742504013682e-01,-1.907377737087045944e-04,5.380712596322592134e-01,-4.678797589074541463e-01,1.773861295490952728e-02,-7.726787212939658644e-01,2.224406210207683088e-01,1.030476482295955287e-01,5.478420258311503810e-01,1.000000000000000000e+00
1.788370176867788076e+09,-1.968847028911113739e-02,-2.968411445617675781e-01,2.328383922576904297e-02,6.383340954780578613e-01,-4.416722655296325684e-01,3.746766597032546997e-03,-9.069219827651977539e-01,1.125352864881357107e-02,-2.687495231555665498e-01,1.239795529106579863e-02,5.529488059815381717e-01,-4.652094300755322820e-01,1.392385748073543539e-02,-7.921339742122537331e-01,2.252403174177260159e-01,1.063884625801475997e-01,5.283227876400731216e-01,1.000000000000000000e+00
1.788370177119893074e+09,-2.836130931973457336e-02,-2.744533717632293701e-01,4.554126039147377014e-02,6.911470890045166016e-01,-4.209108948707580566e-01,1.096217893064022064e-04,-9.602201581001281738e-01,7.820248722056888369e-03,-2.622644388494705936e-01,2.803845273517957537e-02,5.975814450293750468e-01,-4.533836881055925971e-01,6.675822079804660802e-03,-8.451590753032736103e-01,2.315061241812217396e-01,1.095931803645878305e-01,5.096019583442159551e-01,1.000000000000000000e+00
1.788370177370874882e+09,-4.336248338222503662e-02,-2.479763627052307129e-01,7.704325020313262939e-02,7.518647313117980957e-01,-3.921200931072235107e-01,-4.022135864943265915e-03,-1.018267512321472168e+00,5.722133211261137831e-04,-2.439536125734349525e-01,5.359731441214599101e-02,6.525139238574819700e-01,-4.293507286182958183e-01,4.768444342717614859e-03,-9.012359807736327610e-01,2.432809363067797992e-01,1.134340773139876218e-01,4.938984138388534118e-01,1.000000000000000000e+00
1.788370177620920420e+09,-6.538493931293487549e-02,-2.195747345685958862e-01,1.181296408176422119e-01,8.161790966987609863e-01,-3.545979559421539307e-01,-7.195229176431894302e-03,-1.075703740119934082e+00,-1.354238193331802620e-02,-2.183947508964685369e-01,8.525978484779095368e-02,7.162203402761893045e-01,-3.999771114671553107e-01,-9.536888685435229718e-04,-9.584573128862441393e-01,2.612570976469865136e-01,1.177156437364063196e-01,4.862481973424870874e-01,1.000000000000000000e+00
1.788370177869230986e+09,-8.980160951614379883e-02,-1.915575712919235229e-01,1.673499196767807007e-01,8.785123825073242188e-01,-3.084398806095123291e-01,-6.453050766140222549e-03,-1.129192352294921875e+00,-3.147173266193625807e-02,-1.962691691462588039e-01,1.310368505378800563e-01,7.825970855268185034e-01,-3.595407034409099367e-01,-2.479591058213159727e-03,-1.013389791714351063e+00,2.534534082276713729e-01,1.137437766402375067e-01,4.682669097574101991e-01,1.000000000000000000e+00
1.788370178119205236e+09,-1.063948497176170349e-01,-1.668988615274429321e-01,2.209206372499465942e-01,9.327999949455261230e-01,-2.555348873138427734e-01,1.704854657873511314e-04,-1.178475141525268555e+00,-5.397878995956340020e-02,-1.714732585641254303e-01,1.806286717021432509e-01,8.466849774929432471e-01,-3.095674067292293330e-01,-1.277943083848320782e-02,-1.076714732585640988e+00,2.462139941913701613e-01,1.107695837315812171e-01,4.498618816141797816e-01,1.000000000000000000e+00
1.788370178369506121e+09,-1.109880954027175903e-01,-1.471735835075378418e-01,2.743286788463592529e-01,9.778398871421813965e-01,-1.999130845069885254e-01,1.168762892484664917e-02,-1.224979639053344727e+00,-6.542305638208567586e-02,-1.512550545510027433e-01,2.367055771725024016e-01,8.989471274891283059e-01,-2.523460746166179547e-01,-8.964675364309115935e-03,-1.128595407034408638e+00,2.404310511619895951e-01,1.083937577237162747e-01,4.308641706810359961e-01,1.000000000000000000e+00
1.788370178620874166e+09,-1.035813465714454651e-01,-1.331264972686767578e-01,3.250289261341094971e-01,1.013305306434631348e+00,-1.442043781280517578e-01,2.703806385397911072e-02,-1.268559098243713379e+00,-7.038223849851199532e-02,-1.405737392233152860e-01,2.908751049057745064e-01,9.451056687266348177e-01,-1.947432669565873908e-01,6.675822079804660802e-03,-1.178187228198671832e+00,2.358570801441089437e-01,1.065146177688021112e-01,4.114851195650129911e-01,1.000000000000000000e+00
1.788370178871088743e+09,-8.417458832263946533e-02,-1.253717392683029175e-01,3.710802197456359863e-01,1.038030028343200684e+00,-9.038365632295608521e-02,4.597245901823043823e-02,-1.308033585548400879e+00,-6.771190966659013100e-02,-1.306553749904626471e-01,3.427557793545421561e-01,9.748607614251927345e-01,-1.401922636758978769e-01,2.231631952391843754e-02,-1.217097734035247569e+00,2.330115021012816867e-01,1.051597051903424701e-01,3.917350082360378516e-01,1.000000000000000000e+00
