# t,q1,q2,q3,q4,q5,q6,q7
1.788366858718797922e+09,-1.421895530074834824e-02,-3.249600529670715332e-01,-9.799449471756815910e-04,5.678888559341430664e-01,-4.654019176959991455e-01,9.026425890624523163e-03,-8.317412137985229492e-01
1.788366858723113298e+09,-1.499442197382450104e-02,-3.243103027343750000e-01,-9.490313241258263588e-04,5.696249604225158691e-01,-4.652789533138275146e-01,9.292239323258399963e-03,-8.333861231803894043e-01
1.788366858748294592e+09,-1.748670078814029694e-02,-3.222476840019226074e-01,-8.060533436946570873e-04,5.751804709434509277e-01,-4.648590981960296631e-01,1.010034326463937759e-02,-8.386099338531494141e-01
1.788366858763751745e+09,-1.921170204877853394e-02,-3.208286762237548828e-01,-6.802856223657727242e-04,5.789998769760131836e-01,-4.645520448684692383e-01,1.063833106309175491e-02,-8.421847820281982422e-01
1.788366858788480759e+09,-2.361741475760936737e-02,-3.172244131565093994e-01,-2.619250153657048941e-04,5.887220501899719238e-01,-4.636934697628021240e-01,1.194943673908710480e-02,-8.512427806854248047e-01
1.788366858804702282e+09,-2.631353773176670074e-02,-3.150400519371032715e-01,5.459537351271137595e-05,5.946248173713684082e-01,-4.631221890449523926e-01,1.271256245672702789e-02,-8.567106127738952637e-01
1.788366858830908298e+09,-3.279492259025573730e-02,-3.099043071269989014e-01,9.524626075290143490e-04,6.085136532783508301e-01,-4.616565704345703125e-01,1.444700080901384354e-02,-8.694573640823364258e-01
1.788366858844061613e+09,-3.663634881377220154e-02,-3.069508373737335205e-01,1.562591176480054855e-03,6.164997220039367676e-01,-4.607400894165039062e-01,1.541284192353487015e-02,-8.767004013061523438e-01
1.788366858867646933e+09,-4.564469680190086365e-02,-3.002802729606628418e-01,3.168850205838680267e-03,6.344285011291503906e-01,-4.585022330284118652e-01,1.753846742212772369e-02,-8.927200436592102051e-01
1.788366858883802414e+09,-5.082459747791290283e-02,-2.965903878211975098e-01,4.185196477919816971e-03,6.442641615867614746e-01,-4.571721851825714111e-01,1.868990622460842133e-02,-9.013657569885253906e-01
1.788366858910607338e+09,-6.249025836586952209e-02,-2.885016500949859619e-01,6.710057612508535385e-03,6.653754115104675293e-01,-4.540655314922332764e-01,2.117112837731838226e-02,-9.196437597274780273e-01
1.788366858926617384e+09,-6.895081698894500732e-02,-2.841150462627410889e-01,8.237442933022975922e-03,6.765451431274414062e-01,-4.522799253463745117e-01,2.250484377145767212e-02,-9.291753768920898438e-01
