# t,q1,q2,q3,q4,q5,q6,q7,m1,m2,m3,m4,m5,m6,m7,px,py,pz,is_policy
1.788367164383443117e+09,-1.434904057532548904e-02,-3.249455392360687256e-01,-1.014525070786476135e-03,5.678888559341430664e-01,-4.654417037963867188e-01,9.067436680197715759e-03,-8.316725492477416992e-01,2.193484397650102835e-02,-2.817196917677584622e-01,1.163500419623098026e-02,5.182345311665539356e-01,-4.613946746013581901e-01,1.735713740749211809e-02,-7.722972457465484553e-01,3.265582883358001398e-01,1.370296263694763539e-01,5.999999999999999778e-01,1.000000000000000000e+00
1.788367164387850285e+09,-1.528728287667036057e-02,-3.242786526679992676e-01,-1.023313263431191444e-03,5.696249604225158691e-01,-4.653692841529846191e-01,9.384223259985446930e-03,-8.332329988479614258e-01,2.193484397650102835e-02,-2.817196917677584622e-01,1.163500419623098026e-02,5.182345311665539356e-01,-4.613946746013581901e-01,1.735713740749211809e-02,-7.722972457465484553e-01,3.265582883358001398e-01,1.370296263694763539e-01,5.999999999999999778e-01,0.000000000000000000e+00
1.788367164433094740e+09,-1.832798123359680176e-02,-3.222230076789855957e-01,-1.057226909324526787e-03,5.751804709434509277e-01,-4.651518762111663818e-01,1.035177800804376602e-02,-8.381667733192443848e-01,2.193484397650102835e-02,-2.817196917677584622e-01,1.163500419623098026e-02,5.182345311665539356e-01,-4.613946746013581901e-01,1.735713740749211809e-02,-7.722972457465484553e-01,3.294859629869461015e-01,1.479629951715469571e-01,5.999999999999999778e-01,1.000000000000000000e+00
1.788367164468664885e+09,-2.044670842587947845e-02,-3.208427131175994873e-01,-1.082303933799266815e-03,5.789998769760131836e-01,-4.650067985057830811e-01,1.099725253880023956e-02,-8.415302634239196777e-01,2.193484397650102835e-02,-2.817196917677584622e-01,1.163500419623098026e-02,5.182345311665539356e-01,-4.613946746013581901e-01,1.735713740749211809e-02,-7.722972457465484553e-01,3.294859629869461015e-01,1.479629951715469571e-01,5.999999999999999778e-01,0.000000000000000000e+00
1.788367164513368368e+09,-2.591615170240402222e-02,-3.173646330833435059e-01,-1.117434701882302761e-03,5.887220501899719238e-01,-4.646225571632385254e-01,1.260093227028846741e-02,-8.500217795372009277e-01,2.193484397650102835e-02,-2.813382162203410530e-01,1.163500419623098026e-02,5.189974822613887540e-01,-4.613946746013581901e-01,1.735713740749211809e-02,-7.726787212939658644e-01,3.282158434391021506e-01,1.475790065526962624e-01,5.999999999999999778e-01,1.000000000000000000e+00
1.788367164548970699e+09,-2.929336391389369965e-02,-3.152611255645751953e-01,-1.110550831072032452e-03,5.946248173713684082e-01,-4.643714129924774170e-01,1.355480216443538666e-02,-8.551316261291503906e-01,2.193484397650102835e-02,-2.813382162203410530e-01,1.163500419623098026e-02,5.193789578088061631e-01,-4.613946746013581901e-01,1.735713740749211809e-02,-7.730601968413832736e-01,3.282158434391021506e-01,1.475790065526962624e-01,5.999999999999999778e-01,0.000000000000000000e+00
1.788367164593078375e+09,-3.743284568190574646e-02,-3.103243112564086914e-01,-1.006977749057114124e-03,6.085136532783508301e-01,-4.637033641338348389e-01,1.575694419443607330e-02,-8.670188188552856445e-01,2.117189288166620997e-02,-2.805752651255062347e-01,1.163500419623098026e-02,5.220492866407280275e-01,-4.613946746013581901e-01,1.735713740749211809e-02,-7.734416723888006828e-01,3.267277991771697643e-01,1.492448586225509910e-01,5.999999999999999778e-01,1.000000000000000000e+00
1.788367164628481388e+09,-4.224900156259536743e-02,-3.074902296066284180e-01,-8.833600440993905067e-04,6.164915561676025391e-01,-4.632627964019775391e-01,1.699706539511680603e-02,-8.737540841102600098e-01,1.964599069199657322e-02,-2.790493629358365979e-01,1.163500419623098026e-02,5.273899443045717561e-01,-4.613946746013581901e-01,1.773861295490952728e-02,-7.761120012207225471e-01,3.267277991771697643e-01,1.492448586225509910e-01,5.999999999999999778e-01,0.000000000000000000e+00
1.788367164672820807e+09,-5.327349528670310974e-02,-3.010631203651428223e-01,-3.418671258259564638e-04,6.343308091163635254e-01,-4.620614349842071533e-01,1.970086805522441864e-02,-8.886572718620300293e-01,1.583123521782248133e-02,-2.775234607461669611e-01,1.163500419623098026e-02,5.361638818951721674e-01,-4.613946746013581901e-01,1.773861295490952728e-02,-7.764934767681399563e-01,3.127110147476195867e-01,1.444783407449722612e-01,5.872666788101196245e-01,1.000000000000000000e+00
1.788367164708985090e+09,-5.943612754344940186e-02,-2.974855601787567139e-01,1.202371568069793284e-04,6.440805196762084961e-01,-4.612719714641571045e-01,2.114367671310901642e-02,-8.967201709747314453e-01,1.087205310139616188e-02,-2.756160830090799152e-01,1.163500419623098026e-02,5.479896238651118523e-01,-4.621576256961930085e-01,1.812008850232693646e-02,-7.803082322423140482e-01,3.127110147476195867e-01,1.444783407449722612e-01,5.872666788101196245e-01,0.000000000000000000e+00
1.788367164753190041e+09,-7.287251204252243042e-02,-2.896207571029663086e-01,1.550742192193865776e-03,6.649680733680725098e-01,-4.592265188694000244e-01,2.416878938674926758e-02,-9.138761758804321289e-01,4.768444342717614859e-03,-2.714198519874884141e-01,1.163500419623098026e-02,5.624856946669734015e-01,-4.621576256961930085e-01,1.812008850232693646e-02,-7.932784008545059606e-01,3.013693046729594704e-01,1.434009897655869614e-01,5.708287675240233394e-01,1.000000000000000000e+00
1.788367164789391041e+09,-8.009365946054458618e-02,-2.853481471538543701e-01,2.553093014284968376e-03,6.760095953941345215e-01,-4.579454362392425537e-01,2.574653364717960358e-02,-9.228893518447875977e-01,-4.005493247882796481e-03,-2.660791943236446855e-01,1.163500419623098026e-02,5.788891432059219966e-01,-4.625391012436104177e-01,1.850156404974434565e-02,-8.062485694666978731e-01,3.013693046729594704e-01,1.434009897655869614e-01,5.708287675240233394e-01,0.000000000000000000e+00
