# t,q1,q2,q3,q4,q5,q6,q7
1.788378887088736534e+09,3.706156462430953979e-02,4.001583158969879150e-01,6.011964678764343262e-01,9.639767408370971680e-01,2.890890091657638550e-02,7.053263783454895020e-01,4.216687977313995361e-01
1.788378887104084253e+09,3.440671041607856750e-02,3.970333039760589600e-01,6.000867486000061035e-01,9.630004763603210449e-01,2.738576382398605347e-02,7.033283710479736328e-01,4.227446019649505615e-01
1.788378887204632282e+09,3.046995773911476135e-02,3.918249607086181641e-01,5.978016853332519531e-01,9.613905549049377441e-01,2.474802732467651367e-02,7.000735998153686523e-01,4.244631528854370117e-01
1.788378887305346489e+09,2.586467191576957703e-02,3.845332860946655273e-01,5.939671397209167480e-01,9.592307806015014648e-01,2.091402187943458557e-02,6.956375241279602051e-01,4.267736673355102539e-01
1.788378887409305573e+09,2.136542089283466339e-02,3.751582801342010498e-01,5.881025791168212891e-01,9.567970037460327148e-01,1.574250869452953339e-02,6.900589466094970703e-01,4.297505617141723633e-01
1.788378887508079767e+09,1.804728060960769653e-02,3.638719320297241211e-01,5.796961784362792969e-01,9.546077251434326172e-01,9.100868366658687592e-03,6.834211945533752441e-01,4.335476756095886230e-01
1.788378887610698938e+09,1.668126508593559265e-02,3.513948023319244385e-01,5.689378380775451660e-01,9.531288743019104004e-01,1.238252501934766769e-03,6.760700941085815430e-01,4.381145238876342773e-01
1.788378887712913036e+09,1.739858463406562805e-02,3.385568559169769287e-01,5.565252900123596191e-01,9.524926543235778809e-01,-7.385674864053726196e-03,6.684201955795288086e-01,4.431986510753631592e-01
1.788378887808083057e+09,2.019923739135265350e-02,3.257363140583038330e-01,5.427939891815185547e-01,9.525145292282104492e-01,-1.656807959079742432e-02,6.606726646423339844e-01,4.485524892807006836e-01
1.788378887907824278e+09,2.508322335779666901e-02,3.131177127361297607e-01,5.278818011283874512e-01,9.528859853744506836e-01,-2.623719163239002228e-02,6.529315710067749023e-01,4.539628326892852783e-01
1.788378888009299994e+09,3.205054253339767456e-02,3.008647561073303223e-01,5.118964910507202148e-01,9.532620310783386230e-01,-3.634930029511451721e-02,6.452791690826416016e-01,4.592229127883911133e-01
1.788378888108001947e+09,4.110119491815567017e-02,2.891441583633422852e-01,4.949234127998352051e-01,9.532551169395446777e-01,-4.688544571399688721e-02,6.377917528152465820e-01,4.641185104846954346e-01
1.788378888208485603e+09,5.223518237471580505e-02,2.781499326229095459e-01,4.771029949188232422e-01,9.525201916694641113e-01,-5.779518187046051025e-02,6.305526494979858398e-01,4.684180319309234619e-01
1.788378888308347702e+09,6.540934741497039795e-02,2.681588232517242432e-01,4.586112797260284424e-01,9.508121013641357422e-01,-6.902519613504409790e-02,6.237020492553710938e-01,4.719851315021514893e-01
1.788378888409467220e+09,8.031202852725982666e-02,2.593987882137298584e-01,4.397094249725341797e-01,9.480441808700561523e-01,-8.050295710563659668e-02,6.173698902130126953e-01,4.748737215995788574e-01
1.788378888510542870e+09,9.644318372011184692e-02,2.519483864307403564e-01,4.207749068737030029e-01,9.442319869995117188e-01,-9.212464839220046997e-02,6.114966273307800293e-01,4.772096276283264160e-01
1.788378888618052721e+09,1.133749336004257202e-01,2.458346635103225708e-01,4.022623002529144287e-01,9.393597245216369629e-01,-1.037954837083816528e-01,6.057608723640441895e-01,4.790782928466796875e-01
1.788378888709704399e+09,1.304308921098709106e-01,2.411022484302520752e-01,3.846815526485443115e-01,9.333839416503906250e-01,-1.154609173536300659e-01,5.997315049171447754e-01,4.806547760963439941e-01
1.788378888810066223e+09,1.466241180896759033e-01,2.378565520048141479e-01,3.684018254280090332e-01,9.263156652450561523e-01,-1.270995140075683594e-01,5.932876467704772949e-01,4.822789728641510010e-01
1.788378888909888029e+09,1.615262776613235474e-01,2.361023575067520142e-01,3.536655306816101074e-01,9.182244539260864258e-01,-1.386438161134719849e-01,5.862933397293090820e-01,4.840829670429229736e-01
1.788378889010140896e+09,1.750080585479736328e-01,2.357668578624725342e-01,3.406206965446472168e-01,9.092028141021728516e-01,-1.500169038772583008e-01,5.785866975784301758e-01,4.860987067222595215e-01
1.788378889109950066e+09,1.872546821832656860e-01,2.366312444210052490e-01,3.293058872222900391e-01,8.993698954582214355e-01,-1.611502021551132202e-01,5.700369477272033691e-01,4.882552325725555420e-01
1.788378889210404634e+09,1.981645226478576660e-01,2.385252267122268677e-01,3.198590576648712158e-01,8.888021707534790039e-01,-1.719667464494705200e-01,5.603858828544616699e-01,4.905618727207183838e-01
1.788378889310168982e+09,2.071170061826705933e-01,2.413894087076187134e-01,3.123354017734527588e-01,8.775984048843383789e-01,-1.824169605970382690e-01,5.495588183403015137e-01,4.932504296302795410e-01
1.788378889411027431e+09,2.139861583709716797e-01,2.450276762247085571e-01,3.063303828239440918e-01,8.659831881523132324e-01,-1.925255954265594482e-01,5.379428863525390625e-01,4.964894950389862061e-01
1.788378889511520624e+09,2.189324945211410522e-01,2.493071556091308594e-01,3.017345070838928223e-01,8.540287613868713379e-01,-2.022217363119125366e-01,5.256299972534179688e-01,5.003119707107543945e-01
1.788378889611083746e+09,2.219559997320175171e-01,2.541252970695495605e-01,2.985825836658477783e-01,8.417745232582092285e-01,-2.114061266183853149e-01,5.125850439071655273e-01,5.047906041145324707e-01
1.788378889710895777e+09,2.235419750213623047e-01,2.592017054557800293e-01,2.966428697109222412e-01,8.293387293815612793e-01,-2.200397253036499023e-01,4.988797008991241455e-01,5.098544955253601074e-01
1.788378889811694622e+09,2.249941825866699219e-01,2.641491293907165527e-01,2.955124676227569580e-01,8.168334960937500000e-01,-2.281158268451690674e-01,4.846483170986175537e-01,5.151593685150146484e-01
1.788378889910961866e+09,2.270601391792297363e-01,2.686843574047088623e-01,2.948418855667114258e-01,8.043989539146423340e-01,-2.356513142585754395e-01,4.700973927974700928e-01,5.205403566360473633e-01
