# t,q1,q2,q3,q4,q5,q6,q7
1.788378974258978128e+09,3.706156462430953979e-02,4.001583158969879150e-01,6.011964678764343262e-01,9.639767408370971680e-01,2.890890091657638550e-02,7.053263783454895020e-01,4.216687977313995361e-01
1.788378974265453815e+09,3.440671414136886597e-02,3.970333039760589600e-01,6.000866889953613281e-01,9.630004763603210449e-01,2.738576382398605347e-02,7.033283710479736328e-01,4.227446019649505615e-01
1.788378974316517830e+09,3.047567419707775116e-02,3.918249607086181641e-01,5.977998971939086914e-01,9.614111185073852539e-01,2.474625408649444580e-02,7.000700831413269043e-01,4.244742989540100098e-01
1.788378974368476629e+09,2.587035112082958221e-02,3.845332860946655273e-01,5.939624309539794922e-01,9.594126939773559570e-01,2.089860662817955017e-02,6.956152915954589844e-01,4.268885552883148193e-01
1.788378974419873476e+09,2.141511812806129456e-02,3.751582801342010498e-01,5.880652070045471191e-01,9.573606848716735840e-01,1.568820141255855560e-02,6.899954080581665039e-01,4.301031827926635742e-01
1.788378974468532801e+09,1.825892925262451172e-02,3.638962507247924805e-01,5.795955657958984375e-01,9.556627273559570312e-01,9.005078114569187164e-03,6.833142638206481934e-01,4.341644942760467529e-01
1.788378974516566992e+09,1.711729168891906738e-02,3.514498770236968994e-01,5.687804818153381348e-01,9.545243978500366211e-01,1.125514158047735691e-03,6.759247183799743652e-01,4.388486444950103760e-01
1.788378974569117546e+09,1.805898547172546387e-02,3.386185169219970703e-01,5.563215613365173340e-01,9.540110230445861816e-01,-7.498421706259250641e-03,6.682295203208923340e-01,4.438839852809906006e-01
1.788378974616648436e+09,2.108401246368885040e-02,3.258110582828521729e-01,5.425954461097717285e-01,9.540826082229614258e-01,-1.664029993116855621e-02,6.604381203651428223e-01,4.490990936756134033e-01
1.788378974666650057e+09,2.619237266480922699e-02,3.132428824901580811e-01,5.278060436248779297e-01,9.545485973358154297e-01,-2.618479914963245392e-02,6.526632905006408691e-01,4.543127715587615967e-01
1.788378974716770649e+09,3.338406607508659363e-02,3.010712862014770508e-01,5.120579004287719727e-01,9.551483392715454102e-01,-3.609019145369529724e-02,6.449854969978332520e-01,4.593663513660430908e-01
1.788378974766742229e+09,4.265909269452095032e-02,2.894341051578521729e-01,4.953789412975311279e-01,9.554850459098815918e-01,-4.637398198246955872e-02,6.374773383140563965e-01,4.640728533267974854e-01
1.788378974816765547e+09,5.401745438575744629e-02,2.785221338272094727e-01,4.778273105621337891e-01,9.550548195838928223e-01,-5.704375356435775757e-02,6.302343010902404785e-01,4.681946933269500732e-01
1.788378974867018700e+09,6.735435128211975098e-02,2.686007618904113770e-01,4.595403373241424561e-01,9.535132050514221191e-01,-6.808076053857803345e-02,6.234063506126403809e-01,4.715861380100250244e-01
1.788378974917848349e+09,8.231579512357711792e-02,2.598709762096405029e-01,4.408418238162994385e-01,9.508044719696044922e-01,-7.940813899040222168e-02,6.170169115066528320e-01,4.742940366268157959e-01
1.788378974967154026e+09,9.843809902667999268e-02,2.523906528949737549e-01,4.222395122051239014e-01,9.469124078750610352e-01,-9.091374278068542480e-02,6.107527613639831543e-01,4.764046370983123779e-01
1.788378975017813683e+09,1.153043061494827271e-01,2.461770027875900269e-01,4.042688012123107910e-01,9.418152570724487305e-01,-1.024863868951797485e-01,6.041638851165771484e-01,4.779775440692901611e-01
1.788378975067128897e+09,1.321606785058975220e-01,2.412888705730438232e-01,3.874524533748626709e-01,9.354867935180664062e-01,-1.140598505735397339e-01,5.968576073646545410e-01,4.792100489139556885e-01
1.788378975117587090e+09,1.478958874940872192e-01,2.378316968679428101e-01,3.723207116127014160e-01,9.279203414916992188e-01,-1.255949139595031738e-01,5.884901285171508789e-01,4.804365038871765137e-01
1.788378975166843653e+09,1.617488265037536621e-01,2.358176410198211670e-01,3.592383563518524170e-01,9.192123413085937500e-01,-1.370121985673904419e-01,5.788183808326721191e-01,4.818796813488006592e-01
1.788378975217812061e+09,1.735184341669082642e-01,2.350861579179763794e-01,3.482547104358673096e-01,9.095711112022399902e-01,-1.482247859239578247e-01,5.677773952484130859e-01,4.836114346981048584e-01
1.788378975267885923e+09,1.832046955823898315e-01,2.353623658418655396e-01,3.391352593898773193e-01,8.992794752120971680e-01,-1.591830104589462280e-01,5.555357336997985840e-01,4.856942892074584961e-01
1.788378975318032503e+09,1.908076256513595581e-01,2.363864034414291382e-01,3.316221535205841064e-01,8.885837793350219727e-01,-1.698543578386306763e-01,5.423203110694885254e-01,4.881935119628906250e-01
1.788378975368116140e+09,1.963272243738174438e-01,2.380596846342086792e-01,3.257859945297241211e-01,8.775550127029418945e-01,-1.801511049270629883e-01,5.280475020408630371e-01,4.910993576049804688e-01
1.788378975423155785e+09,1.998190432786941528e-01,2.404723316431045532e-01,3.219801485538482666e-01,8.661032319068908691e-01,-1.899082660675048828e-01,5.124257802963256836e-01,4.944157600402832031e-01
1.788378975473736763e+09,2.019577324390411377e-01,2.434989362955093384e-01,3.202317655086517334e-01,8.542175889015197754e-01,-1.990057975053787231e-01,4.953090548515319824e-01,4.979783892631530762e-01
1.788378975524593592e+09,2.029708325862884521e-01,2.469110786914825439e-01,3.201439380645751953e-01,8.420732021331787109e-01,-2.074476182460784912e-01,4.770532548427581787e-01,5.019056797027587891e-01
1.788378975570531368e+09,2.022110074758529663e-01,2.506205737590789795e-01,3.212811350822448730e-01,8.298970460891723633e-01,-2.152628898620605469e-01,4.583288729190826416e-01,5.067449212074279785e-01
1.788378975618517876e+09,2.003124654293060303e-01,2.543475925922393799e-01,3.229994475841522217e-01,8.178656697273254395e-01,-2.225345671176910400e-01,4.397089481353759766e-01,5.125768780708312988e-01
1.788378975668951511e+09,1.981565207242965698e-01,2.578010261058807373e-01,3.246309459209442139e-01,8.061462640762329102e-01,-2.293868064880371094e-01,4.217731356620788574e-01,5.193874239921569824e-01
1.788378975718949556e+09,1.956117451190948486e-01,2.608654797077178955e-01,3.257605135440826416e-01,7.949275374412536621e-01,-2.359039634466171265e-01,4.050943851470947266e-01,5.274467468261718750e-01
1.788378975768893480e+09,1.933173090219497681e-01,2.633547484874725342e-01,3.262418508529663086e-01,7.842852473258972168e-01,-2.421106100082397461e-01,3.896117508411407471e-01,5.365317463874816895e-01
1.788378975818546534e+09,1.924172490835189819e-01,2.650888860225677490e-01,3.258902132511138916e-01,7.742651104927062988e-01,-2.480610758066177368e-01,3.752163648605346680e-01,5.461483597755432129e-01
1.788378975869011402e+09,1.926551163196563721e-01,2.661089301109313965e-01,3.246322870254516602e-01,7.649000883102416992e-01,-2.538193166255950928e-01,3.620825409889221191e-01,5.563977956771850586e-01
1.788378975919192791e+09,1.931421160697937012e-01,2.665672898292541504e-01,3.225363790988922119e-01,7.561705112457275391e-01,-2.594251334667205811e-01,3.503609895706176758e-01,5.676009654998779297e-01
1.788378975969261408e+09,1.932787448167800903e-01,2.666599750518798828e-01,3.195163011550903320e-01,7.480721473693847656e-01,-2.649594843387603760e-01,3.403962254524230957e-01,5.799326896667480469e-01
1.788378976019734621e+09,1.930303573608398438e-01,2.665891051292419434e-01,3.157115280628204346e-01,7.405042648315429688e-01,-2.704005241394042969e-01,3.319748342037200928e-01,5.932689905166625977e-01
1.788378976069512129e+09,1.925360560417175293e-01,2.665255367755889893e-01,3.112377226352691650e-01,7.333763241767883301e-01,-2.757373750209808350e-01,3.248851597309112549e-01,6.074221134185791016e-01
1.788378976119849205e+09,1.923339068889617920e-01,2.664798796176910400e-01,3.061996698379516602e-01,7.266334295272827148e-01,-2.809718549251556396e-01,3.188798725605010986e-01,6.220260858535766602e-01
1.788378976169675350e+09,1.936584413051605225e-01,2.663291990756988525e-01,3.008601665496826172e-01,7.201834321022033691e-01,-2.860182523727416992e-01,3.132860064506530762e-01,6.363266110420227051e-01
1.788378976219791651e+09,1.969463378190994263e-01,2.660358250141143799e-01,2.955518662929534912e-01,7.138993144035339355e-01,-2.907644212245941162e-01,3.075786232948303223e-01,6.498585939407348633e-01
1.788378976269791126e+09,2.015496045351028442e-01,2.657268643379211426e-01,2.904230356216430664e-01,7.076302170753479004e-01,-2.952042520046234131e-01,3.017481863498687744e-01,6.627569198608398438e-01
1.788378976320447445e+09,2.073543667793273926e-01,2.654362618923187256e-01,2.855134010314941406e-01,7.012870311737060547e-01,-2.993534803390502930e-01,2.958092689514160156e-01,6.749132275581359863e-01
1.788378976370715141e+09,2.139778137207031250e-01,2.652209103107452393e-01,2.808755338191986084e-01,6.947380900382995605e-01,-3.032294213771820068e-01,2.897875308990478516e-01,6.863485574722290039e-01
1.788378976421466112e+09,2.203676700592041016e-01,2.652172744274139404e-01,2.766862213611602783e-01,6.877745985984802246e-01,-3.068061172962188721e-01,2.836730480194091797e-01,6.973890066146850586e-01
1.788378976473140240e+09,2.255677431821823120e-01,2.653135955333709717e-01,2.732839584350585938e-01,6.801911592483520508e-01,-3.098390996456146240e-01,2.775154113769531250e-01,7.083371877670288086e-01
1.788378976522890568e+09,2.297188192605972290e-01,2.652227878570556641e-01,2.708323597908020020e-01,6.719369888305664062e-01,-3.120898604393005371e-01,2.714241445064544678e-01,7.191306948661804199e-01
1.788378976572709560e+09,2.330002188682556152e-01,2.648359537124633789e-01,2.694918811321258545e-01,6.629601716995239258e-01,-3.132430315017700195e-01,2.654969990253448486e-01,7.297071218490600586e-01
1.788378976620790720e+09,2.348104864358901978e-01,2.642851769924163818e-01,2.694197893142700195e-01,6.532546281814575195e-01,-3.131542503833770752e-01,2.597161233425140381e-01,7.403370141983032227e-01
1.788378976670624256e+09,2.348919361829757690e-01,2.636454403400421143e-01,2.704904973506927490e-01,6.430174112319946289e-01,-3.119642138481140137e-01,2.541133761405944824e-01,7.512484788894653320e-01
