# t,q1,q2,q3,q4,q5,q6,q7
1.788378599426616907e+09,3.778854385018348694e-02,4.001583158969879150e-01,6.009820699691772461e-01,9.636968374252319336e-01,2.871682681143283844e-02,7.048777341842651367e-01,4.214535057544708252e-01
1.788378599440706015e+09,3.743690997362136841e-02,3.970333039760589600e-01,5.991583466529846191e-01,9.618683457374572754e-01,2.659155987203121185e-02,7.015107274055480957e-01,4.218562543392181396e-01
1.788378599539396524e+09,3.761338815093040466e-02,3.918249607086181641e-01,5.955220460891723633e-01,9.588180780410766602e-01,2.289888449013233185e-02,6.959513425827026367e-01,4.224000871181488037e-01
1.788378599640147209e+09,3.920747339725494385e-02,3.846877217292785645e-01,5.896700024604797363e-01,9.547926187515258789e-01,1.759625785052776337e-02,6.883639693260192871e-01,4.230513572692871094e-01
1.788378599739957333e+09,4.280400648713111877e-02,3.762360215187072754e-01,5.817380547523498535e-01,9.503337740898132324e-01,1.097679324448108673e-02,6.792826652526855469e-01,4.238244891166687012e-01
1.788378599838925123e+09,4.848387464880943298e-02,3.671975433826446533e-01,5.722326040267944336e-01,9.459182024002075195e-01,3.505373606458306313e-03,6.693907380104064941e-01,4.247033596038818359e-01
1.788378599939425945e+09,5.624707415699958801e-02,3.579489588737487793e-01,5.614285469055175781e-01,9.416832327842712402e-01,-4.565210081636905670e-03,6.590899229049682617e-01,4.256177246570587158e-01
1.788378600038777113e+09,6.609360873699188232e-02,3.486245572566986084e-01,5.493625998497009277e-01,9.374562501907348633e-01,-1.316512841731309891e-02,6.486099958419799805e-01,4.264495372772216797e-01
1.788378600140288830e+09,7.802347838878631592e-02,3.392858207225799561e-01,5.359644889831542969e-01,9.328876733779907227e-01,-2.230614423751831055e-02,6.381422877311706543e-01,4.270559251308441162e-01
1.788378600243007660e+09,9.184139966964721680e-02,3.300472199916839600e-01,5.213106870651245117e-01,9.276912212371826172e-01,-3.194886445999145508e-02,6.278943419456481934e-01,4.273551106452941895e-01
1.788378600342692137e+09,1.071224212646484375e-01,3.210874497890472412e-01,5.056639313697814941e-01,9.217870831489562988e-01,-4.199253395199775696e-02,6.180627942085266113e-01,4.274015128612518311e-01
1.788378600442667961e+09,1.234271675348281860e-01,3.125961422920227051e-01,4.893097579479217529e-01,9.151920676231384277e-01,-5.233549326658248901e-02,6.088169217109680176e-01,4.273211061954498291e-01
1.788378600543800592e+09,1.403604000806808472e-01,3.047399520874023438e-01,4.725062847137451172e-01,9.079342484474182129e-01,-6.288396567106246948e-02,6.003028750419616699e-01,4.272275567054748535e-01
1.788378600649878025e+09,1.575774103403091431e-01,2.976658642292022705e-01,4.554874897003173828e-01,9.000569581985473633e-01,-7.354833185672760010e-02,5.926430821418762207e-01,4.272036850452423096e-01
1.788378600746587276e+09,1.747865080833435059e-01,2.914933264255523682e-01,4.384726583957672119e-01,8.916160464286804199e-01,-8.424386382102966309e-02,5.859097838401794434e-01,4.272984862327575684e-01
1.788378600849935770e+09,1.917610913515090942e-01,2.863048613071441650e-01,4.217346310615539551e-01,8.826450109481811523e-01,-9.490211308002471924e-02,5.799553990364074707e-01,4.275321960449218750e-01
1.788378600948815584e+09,2.083281576633453369e-01,2.821507453918457031e-01,4.056186079978942871e-01,8.731442689895629883e-01,-1.054740026593208313e-01,5.743752121925354004e-01,4.279128015041351318e-01
1.788378601048605204e+09,2.239953726530075073e-01,2.791333496570587158e-01,3.905224204063415527e-01,8.630856275558471680e-01,-1.159340515732765198e-01,5.687420368194580078e-01,4.285664260387420654e-01
1.788378601149289370e+09,2.385425269603729248e-01,2.772880494594573975e-01,3.767403066158294678e-01,8.524792790412902832e-01,-1.262417137622833252e-01,5.626673698425292969e-01,4.295214414596557617e-01
1.788378601249426603e+09,2.520897686481475830e-01,2.765587866306304932e-01,3.644469082355499268e-01,8.413739204406738281e-01,-1.363350600004196167e-01,5.558013319969177246e-01,4.306792914867401123e-01
