# t,q1,q2,q3,q4,q5,q6,q7
1.788366750613696337e+09,-1.421930827200412750e-02,-3.249600529670715332e-01,-9.801485575735569000e-04,5.678888559341430664e-01,-4.654020965099334717e-01,9.026579558849334717e-03,-8.317410349845886230e-01
1.788366750617854357e+09,-1.499515306204557419e-02,-3.243102729320526123e-01,-9.495055419392883778e-04,5.696249604225158691e-01,-4.652793705463409424e-01,9.292595088481903076e-03,-8.333858251571655273e-01
1.788366750642952204e+09,-1.748697459697723389e-02,-3.222469389438629150e-01,-8.074061479419469833e-04,5.751804709434509277e-01,-4.648603498935699463e-01,1.010139845311641693e-02,-8.386102318763732910e-01
1.788366750659289122e+09,-1.921110227704048157e-02,-3.208270967006683350e-01,-6.821654387749731541e-04,5.789998769760131836e-01,-4.645538926124572754e-01,1.063989289104938507e-02,-8.421856760978698730e-01
1.788366750683399916e+09,-2.361238002777099609e-02,-3.172206282615661621e-01,-2.642495383042842150e-04,5.887220501899719238e-01,-4.636960625648498535e-01,1.195109449326992035e-02,-8.512462377548217773e-01
1.788366750699325085e+09,-2.630420774221420288e-02,-3.150349557399749756e-01,5.260762554826214910e-05,5.946248173713684082e-01,-4.631246328353881836e-01,1.271385606378316879e-02,-8.567167520523071289e-01
1.788366750725921869e+09,-3.276224434375762939e-02,-3.098856806755065918e-01,9.653220768086612225e-04,6.085136532783508301e-01,-4.616480171680450439e-01,1.444308646023273468e-02,-8.694777488708496094e-01
1.788366750740498543e+09,-3.658291697502136230e-02,-3.069166243076324463e-01,1.593914581462740898e-03,6.164997220039367676e-01,-4.607180655002593994e-01,1.540305558592081070e-02,-8.767335414886474609e-01
1.788366750763998985e+09,-4.551383852958679199e-02,-3.002188801765441895e-01,3.273074515163898468e-03,6.344438791275024414e-01,-4.584217667579650879e-01,1.748829893767833710e-02,-8.927963376045227051e-01
1.788366750779405594e+09,-5.063389241695404053e-02,-2.965229153633117676e-01,4.346610512584447861e-03,6.442984342575073242e-01,-4.570433199405670166e-01,1.860075443983078003e-02,-9.014735817909240723e-01
1.788366750807013273e+09,-6.217898428440093994e-02,-2.885179519653320312e-01,7.006809115409851074e-03,6.655139923095703125e-01,-4.538019001483917236e-01,2.094767987728118896e-02,-9.198130965232849121e-01
1.788366750819904566e+09,-6.859630346298217773e-02,-2.842373251914978027e-01,8.608599193394184113e-03,6.767790913581848145e-01,-4.519301354885101318e-01,2.218235842883586884e-02,-9.293650388717651367e-01
1.788366750844102621e+09,-8.269330859184265137e-02,-2.751849889755249023e-01,1.237997785210609436e-02,7.004009485244750977e-01,-4.476702511310577393e-01,2.479057200253009796e-02,-9.489814639091491699e-01
1.788366750860602379e+09,-9.034942090511322021e-02,-2.704370617866516113e-01,1.455547939985990524e-02,7.126737833023071289e-01,-4.452771246433258057e-01,2.617621608078479767e-02,-9.589601159095764160e-01
1.788366750883935928e+09,-1.067971587181091309e-01,-2.605483531951904297e-01,1.949586160480976105e-02,7.379452586174011230e-01,-4.399528205394744873e-01,2.915181405842304230e-02,-9.790694713592529297e-01
1.788366750900175095e+09,-1.155504062771797180e-01,-2.554270923137664795e-01,2.225950919091701508e-02,7.508692741394042969e-01,-4.370187520980834961e-01,3.076434694230556488e-02,-9.891342520713806152e-01
1.788366750924185514e+09,-1.339643001556396484e-01,-2.448736876249313354e-01,2.836345881223678589e-02,7.771202325820922852e-01,-4.305976927280426025e-01,3.430394083261489868e-02,-1.009166598320007324e+00
1.788366750939792633e+09,-1.435614973306655884e-01,-2.394571751356124878e-01,3.169527649879455566e-02,7.903818488121032715e-01,-4.271090328693389893e-01,3.626140579581260681e-02,-1.019093871116638184e+00
1.788366750965578794e+09,-1.633598208427429199e-01,-2.283865511417388916e-01,3.888026997447013855e-02,8.170256018638610840e-01,-4.195780754089355469e-01,4.063709825277328491e-02,-1.038694024085998535e+00
1.788366750981637955e+09,-1.734851449728012085e-01,-2.227460145950317383e-01,4.271502047777175903e-02,8.303499817848205566e-01,-4.155381321907043457e-01,4.309377074241638184e-02,-1.048342108726501465e+00
1.788366751005815268e+09,-1.939756274223327637e-01,-2.112969905138015747e-01,5.080052092671394348e-02,8.568733334541320801e-01,-4.069228470325469971e-01,4.864990338683128357e-02,-1.067301869392395020e+00
1.788366751021596670e+09,-2.042503207921981812e-01,-2.055018991231918335e-01,5.502355098724365234e-02,8.700214624404907227e-01,-4.023530185222625732e-01,5.179252102971076965e-02,-1.076604962348937988e+00
1.788366751045125484e+09,-2.246119230985641479e-01,-1.938129067420959473e-01,6.374778598546981812e-02,8.959729671478271484e-01,-3.927049636840820312e-01,5.891709402203559875e-02,-1.094856023788452148e+00
1.788366751061186790e+09,-2.345983833074569702e-01,-1.879343986511230469e-01,6.821259856224060059e-02,9.087296724319458008e-01,-3.876357674598693848e-01,6.294456869363784790e-02,-1.103804349899291992e+00
1.788366751087566376e+09,-2.539073824882507324e-01,-1.761506795883178711e-01,7.724480330944061279e-02,9.336962699890136719e-01,-3.770370483398437500e-01,7.203948497772216797e-02,-1.121366381645202637e+00
1.788366751103606462e+09,-2.631247937679290771e-01,-1.702616959810256958e-01,8.177005499601364136e-02,9.458602070808410645e-01,-3.715212941169738770e-01,7.715017348527908325e-02,-1.129982709884643555e+00
1.788366751125253916e+09,-2.804027497768402100e-01,-1.585439443588256836e-01,9.072357416152954102e-02,9.694456458091735840e-01,-3.600970208644866943e-01,8.858892321586608887e-02,-1.146909952163696289e+00
1.788366751140981674e+09,-2.883501052856445312e-01,-1.527381837368011475e-01,9.510037302970886230e-02,9.808285236358642578e-01,-3.542105853557586670e-01,9.494889527559280396e-02,-1.155231952667236328e+00
1.788366751167115927e+09,-3.026975989341735840e-01,-1.412745565176010132e-01,1.035507097840309143e-01,1.002729892730712891e+00,-3.421683609485626221e-01,1.089336052536964417e-01,-1.171620249748229980e+00
1.788366751181524992e+09,-3.090901076793670654e-01,-1.356286108493804932e-01,1.075958162546157837e-01,1.013254642486572266e+00,-3.360505700111389160e-01,1.165126785635948181e-01,-1.179698824882507324e+00
