# t,q1,q2,q3,q4,q5,q6,q7,m1,m2,m3,m4,m5,m6,m7,px,py,pz,is_policy
1.788370118294148684e+09,-1.407394744455814362e-02,-3.223778009414672852e-01,1.465932233259081841e-03,5.744999647140502930e-01,-4.629756510257720947e-01,8.141767233610153198e-03,-8.392242193222045898e-01,1.163500419623098026e-02,-2.695124742504013682e-01,-1.907377737087045944e-04,5.380712596322592134e-01,-4.678797589074541463e-01,1.773861295490952728e-02,-7.719157701991310461e-01,2.200000000000000011e-01,1.000000000000000333e-01,5.674481689929962158e-01,1.000000000000000000e+00
1.788370118448316336e+09,-1.570844464004039764e-02,-3.130304515361785889e-01,9.163571521639823914e-03,5.984999537467956543e-01,-4.553042352199554443e-01,6.404408719390630722e-03,-8.650461435317993164e-01,1.163500419623098026e-02,-2.695124742504013682e-01,-1.907377737087045944e-04,5.380712596322592134e-01,-4.678797589074541463e-01,1.773861295490952728e-02,-7.719157701991310461e-01,2.224391092560177863e-01,1.030498368124884989e-01,5.478331430828833337e-01,1.000000000000000000e+00
1.788370118697365284e+09,-1.966891624033451080e-02,-2.967827320098876953e-01,2.318093925714492798e-02,6.383276581764221191e-01,-4.417624473571777344e-01,3.837772179394960403e-03,-9.069691300392150879e-01,1.163500419623098026e-02,-2.695124742504013682e-01,-1.907377737087045944e-04,5.380712596322592134e-01,-4.678797589074541463e-01,1.773861295490952728e-02,-7.719157701991310461e-01,2.244782767149146596e-01,1.064762031582301288e-01,5.282346275845262173e-01,1.000000000000000000e+00
1.788370118947623014e+09,-2.802959829568862915e-02,-2.740434706211090088e-01,4.482859745621681213e-02,6.909900307655334473e-01,-4.215613007545471191e-01,6.840763962827622890e-04,-9.604963064193725586e-01,1.163500419623098026e-02,-2.695124742504013682e-01,-1.907377737087045944e-04,5.380712596322592134e-01,-4.678797589074541463e-01,1.773861295490952728e-02,-7.719157701991310461e-01,2.265607734297101772e-01,1.098553442365231697e-01,5.086324692083202814e-01,1.000000000000000000e+00
1.788370119198044062e+09,-4.137651249766349792e-02,-2.463285475969314575e-01,7.458578795194625854e-02,7.511051297187805176e-01,-3.944794833660125732e-01,-2.150853164494037628e-03,-1.019389152526855469e+00,1.163500419623098026e-02,-2.695124742504013682e-01,-1.907377737087045944e-04,5.380712596322592134e-01,-4.678797589074541463e-01,1.773861295490952728e-02,-7.719157701991310461e-01,2.286437791820577770e-01,1.132287825962599581e-01,4.890293826995905091e-01,1.000000000000000000e+00
1.788370119448491812e+09,-5.755197629332542419e-02,-2.152212709188461304e-01,1.121791377663612366e-01,8.135151267051696777e-01,-3.604932129383087158e-01,-2.852376084774732590e-03,-1.079433798789978027e+00,1.163500419623098026e-02,-2.695124742504013682e-01,-1.907377737087045944e-04,5.380712596322592134e-01,-4.678797589074541463e-01,1.773861295490952728e-02,-7.719157701991310461e-01,2.307267099956868683e-01,1.166026230700808325e-01,4.694263574309529563e-01,1.000000000000000000e+00
1.788370119698846102e+09,-7.149995863437652588e-02,-1.830251514911651611e-01,1.557758599519729614e-01,8.732026219367980957e-01,-3.201529085636138916e-01,9.965745266526937485e-04,-1.138437986373901367e+00,1.163500419623098026e-02,-2.695124742504013682e-01,-1.907377737087045944e-04,5.380712596322592134e-01,-4.678797589074541463e-01,1.773861295490952728e-02,-7.719157701991310461e-01,2.321973174810409157e-01,1.189850035309791831e-01,4.555852282047271884e-01,1.000000000000000000e+00
1.788370119948979378e+09,-7.697849720716476440e-02,-1.532012820243835449e-01,2.012352049350738525e-01,9.263638854026794434e-01,-2.751640975475311279e-01,1.240493915975093842e-02,-1.195845007896423340e+00,1.163500419623098026e-02,-2.695124742504013682e-01,-1.907377737087045944e-04,5.380712596322592134e-01,-4.678797589074541463e-01,1.773861295490952728e-02,-7.719157701991310461e-01,2.321973174810409157e-01,1.189849936962127930e-01,4.555853134393691994e-01,1.000000000000000000e+00
1.788370120199615240e+09,-7.068568468093872070e-02,-1.287001669406890869e-01,2.431758940219879150e-01,9.716784358024597168e-01,-2.288210391998291016e-01,3.294757008552551270e-02,-1.251721143722534180e+00,1.163500419623098026e-02,-2.695124742504013682e-01,-1.907377737087045944e-04,5.380712596322592134e-01,-4.678797589074541463e-01,1.773861295490952728e-02,-7.719157701991310461e-01,2.321973174810409157e-01,1.189849740266800127e-01,4.555853199958801447e-01,1.000000000000000000e+00
1.788370120454813719e+09,-5.239287763833999634e-02,-1.108336150646209717e-01,2.772323489189147949e-01,1.008715510368347168e+00,-1.846767961978912354e-01,6.239648908376693726e-02,-1.305268168449401855e+00,1.163500419623098026e-02,-2.695124742504013682e-01,-1.907377737087045944e-04,5.380712596322592134e-01,-4.678797589074541463e-01,1.773861295490952728e-02,-7.719157701991310461e-01,2.321973174810409157e-01,1.189849740266800127e-01,4.555853265523910345e-01,1.000000000000000000e+00
