# t,q1,q2,q3,q4,q5,q6,q7,palm0,palm1,palm2,palm3,palm4,palm5,a0,a1,a2,a3,a4,a5,a6
1.788365031803889513e+09,-1.368045620620250702e-02,-3.248005807399749756e-01,-6.653416785411536694e-04,5.678888559341430664e-01,-4.651505947113037109e-01,8.822113275527954102e-03,-8.320211172103881836e-01,2.200000000000000011e-01,1.054423433542251987e-01,5.389512383937835605e-01,5.194984949006314912e-01,-2.530727415391777591e+00,3.069596540764533810e+00,-1.000000000000000000e+00,-9.670161008834838867e-01,7.225056290626525879e-01,1.932821869850158691e-01,-1.000000000000000000e+00,-2.386864274740219116e-02,1.000000000000000000e+00
1.788365031811326504e+09,-1.388875208795070648e-02,-3.227431774139404297e-01,4.270862264093011618e-04,5.720555186271667480e-01,-4.640520215034484863e-01,8.818869479000568390e-03,-8.368013501167297363e-01,2.200000000000000011e-01,1.082563876111111295e-01,5.191501991553928441e-01,4.835993934992182108e-01,-2.530727415391777591e+00,3.034793458737635063e+00,-1.000000000000000000e+00,-8.669750690460205078e-01,1.945511400699615479e-01,1.192577481269836426e-01,-1.000000000000000000e+00,-9.563307464122772217e-02,9.816714525222778320e-01
1.788365031912682295e+09,-1.415526960045099258e-02,-3.192427456378936768e-01,2.444807440042495728e-03,5.789998769760131836e-01,-4.620889425277709961e-01,8.779051713645458221e-03,-8.447597622871398926e-01,2.200000000000000011e-01,1.117610325217125306e-01,4.994596566526938730e-01,4.573461043126610948e-01,-2.530727415391777591e+00,3.009776010385996514e+00,-1.000000000000000000e+00,-8.426820039749145508e-01,1.804464161396026611e-01,1.339310258626937866e-01,-1.000000000000000000e+00,-8.099304139614105225e-02,9.337325096130371094e-01
1.788365032013686180e+09,-1.442518737167119980e-02,-3.141489624977111816e-01,5.558980628848075867e-03,5.887220501899719238e-01,-4.591432809829711914e-01,8.686310611665248871e-03,-8.559533953666687012e-01,2.200000000000000011e-01,1.152535489578318945e-01,4.797669593020657541e-01,4.563964325112092046e-01,-2.530727415391777591e+00,3.011836025306267484e+00,-1.000000000000000000e+00,-8.458337783813476562e-01,1.924761235713958740e-01,1.330241560935974121e-01,-1.000000000000000000e+00,-7.902587205171585083e-02,9.290854930877685547e-01
1.788365032112399817e+09,-1.467567961663007736e-02,-3.072464764118194580e-01,9.986999444663524628e-03,6.012047529220581055e-01,-4.550702273845672607e-01,8.540663868188858032e-03,-8.704275488853454590e-01,2.200000000000000011e-01,1.187277031611402162e-01,4.600710142226430710e-01,4.569041860192760707e-01,-2.530727415391777591e+00,3.011183883734334099e+00,-1.000000000000000000e+00,-8.463987708091735840e-01,1.934556365013122559e-01,1.335090249776840210e-01,-1.000000000000000000e+00,-7.964862138032913208e-02,9.328714609146118164e-01
1.788365032214222431e+09,-1.491755060851573944e-02,-2.984728515148162842e-01,1.588900387287139893e-02,6.161252260208129883e-01,-4.497850835323333740e-01,8.344056084752082825e-03,-8.878625631332397461e-01,2.200000000000000011e-01,1.221880058294885080e-01,4.403726309020905560e-01,4.566835389617738272e-01,-2.530727415391777591e+00,3.010902941045277004e+00,-1.000000000000000000e+00,-8.463380336761474609e-01,1.924926042556762695e-01,1.332983225584030151e-01,-1.000000000000000000e+00,-7.991690188646316528e-02,9.325847625732421875e-01
1.788365032312723637e+09,-1.515333447605371475e-02,-2.879303693771362305e-01,2.332429215312004089e-02,6.329185366630554199e-01,-4.432868957519531250e-01,8.114316500723361969e-03,-9.076628684997558594e-01,2.200000000000000011e-01,1.252707666158676403e-01,4.227811354398727239e-01,4.562510613663937065e-01,-2.530727415391777591e+00,3.011894487413830035e+00,-1.000000000000000000e+00,-8.468438386917114258e-01,1.944597065448760986e-01,1.328853368759155273e-01,-1.000000000000000000e+00,-7.897004485130310059e-02,9.302866458892822266e-01
1.788365032412825584e+09,-1.541554648429155350e-02,-2.758231759071350098e-01,3.229740262031555176e-02,6.511457562446594238e-01,-4.355803132057189941e-01,7.895356975495815277e-03,-9.293178319931030273e-01,2.200000000000000011e-01,1.253008216619491966e-01,4.226019787788390936e-01,4.564961606119515292e-01,-2.530727415391777591e+00,3.011272298601930242e+00,-1.000000000000000000e+00,-8.466616868972778320e-01,1.936453580856323242e-01,1.331193894147872925e-01,-1.000000000000000000e+00,-7.956419140100479126e-02,9.318715333938598633e-01
1.788365032513556242e+09,-1.576516218483448029e-02,-2.624305188655853271e-01,4.276102781295776367e-02,6.704956293106079102e-01,-4.266770780086517334e-01,7.758588530123233795e-03,-9.524070024490356445e-01,2.200000000000000011e-01,1.253230482339859342e-01,4.224969696998596147e-01,4.567991055889210616e-01,-2.530727415391777591e+00,3.011023204614737381e+00,-1.000000000000000000e+00,-8.465269804000854492e-01,1.931680440902709961e-01,1.334086805582046509e-01,-1.000000000000000000e+00,-7.980205863714218140e-02,9.328618049621582031e-01
1.788365032613313675e+09,-1.620355248451232910e-02,-2.480248957872390747e-01,5.464434251189231873e-02,6.906805038452148438e-01,-4.165949821472167969e-01,7.787260226905345917e-03,-9.765825271606445312e-01,2.200000000000000011e-01,1.253745725750923523e-01,4.222944849729537986e-01,4.566968339612782479e-01,-2.530727415391777591e+00,3.010882062278449567e+00,-1.000000000000000000e+00,-8.462147116661071777e-01,1.922476589679718018e-01,1.333110183477401733e-01,-1.000000000000000000e+00,-7.993683964014053345e-02,9.325704574584960938e-01
