# t,q1,q2,q3,q4,q5,q6,q7
1.788365395028155327e+09,-1.368107646703720093e-02,-3.248010575771331787e-01,-6.664677057415246964e-04,5.678888559341430664e-01,-4.651516079902648926e-01,8.822276256978511810e-03,-8.320206999778747559e-01
1.788365395058053970e+09,-1.389152463525533676e-02,-3.227453231811523438e-01,4.222488496452569962e-04,5.720555186271667480e-01,-4.640563428401947021e-01,8.819444105029106140e-03,-8.367995619773864746e-01
1.788365395106406689e+09,-1.416314020752906799e-02,-3.192465305328369141e-01,2.431478351354598999e-03,5.789998769760131836e-01,-4.621011614799499512e-01,8.781475946307182312e-03,-8.447551727294921875e-01
1.788365395155647755e+09,-1.444117724895477295e-02,-3.141549825668334961e-01,5.530690308660268784e-03,5.887220501899719238e-01,-4.591676592826843262e-01,8.697687648236751556e-03,-8.559460043907165527e-01
1.788365395225660086e+09,-1.470668148249387741e-02,-3.072513639926910400e-01,9.918076917529106140e-03,6.012038588523864746e-01,-4.551244676113128662e-01,8.590438403189182281e-03,-8.704239130020141602e-01
1.788365395295120239e+09,-1.499775890260934830e-02,-2.984507083892822266e-01,1.563400588929653168e-02,6.161090731620788574e-01,-4.499880075454711914e-01,8.547320030629634857e-03,-8.878804445266723633e-01
1.788365395385104418e+09,-1.532223634421825409e-02,-2.878711819648742676e-01,2.275347709655761719e-02,6.328696608543395996e-01,-4.437313973903656006e-01,8.545334450900554657e-03,-9.077210426330566406e-01
1.788365395475045443e+09,-1.566343754529953003e-02,-2.756938040256500244e-01,3.137009590864181519e-02,6.509606838226318359e-01,-4.362770915031433105e-01,8.607122115790843964e-03,-9.294154047966003418e-01
1.788365395564832211e+09,-1.613850705325603485e-02,-2.622255384922027588e-01,4.132040590047836304e-02,6.700759530067443848e-01,-4.277111887931823730e-01,8.843788877129554749e-03,-9.525693058967590332e-01
1.788365395676442146e+09,-1.698544248938560486e-02,-2.478820532560348511e-01,5.257775634527206421e-02,6.901758909225463867e-01,-4.179751873016357422e-01,9.282646700739860535e-03,-9.768379926681518555e-01
1.788365395787810802e+09,-1.844134181737899780e-02,-2.330872863531112671e-01,6.515578180551528931e-02,7.112391591072082520e-01,-4.069523215293884277e-01,9.961945936083793640e-03,-1.001889109611511230e+00
1.788365395898884773e+09,-2.085070684552192688e-02,-2.181393355131149292e-01,7.888164371252059937e-02,7.332606911659240723e-01,-3.947221934795379639e-01,1.099805627018213272e-02,-1.027410387992858887e+00
1.788365396009573698e+09,-2.465312741696834564e-02,-2.031665295362472534e-01,9.348918497562408447e-02,7.562550306320190430e-01,-3.815112709999084473e-01,1.253271941095590591e-02,-1.053056240081787109e+00
1.788365396120494604e+09,-3.023108839988708496e-02,-1.882421225309371948e-01,1.086632683873176575e-01,7.801997065544128418e-01,-3.676040172576904297e-01,1.472889259457588196e-02,-1.078475475311279297e+00
1.788365396231488943e+09,-3.781883418560028076e-02,-1.733914762735366821e-01,1.240955144166946411e-01,8.049864172935485840e-01,-3.533079326152801514e-01,1.766954176127910614e-02,-1.103341698646545410e+00
1.788365396341917038e+09,-4.748991504311561584e-02,-1.585722565650939941e-01,1.395270377397537231e-01,8.304001688957214355e-01,-3.388960957527160645e-01,2.142390236258506775e-02,-1.127363443374633789e+00
1.788365396455686331e+09,-5.924433097243309021e-02,-1.436503231525421143e-01,1.547493189573287964e-01,8.560603857040405273e-01,-3.245837390422821045e-01,2.624317444860935211e-02,-1.150198221206665039e+00
1.788365396566008091e+09,-7.277799397706985474e-02,-1.286135911941528320e-01,1.695663183927536011e-01,8.813259005546569824e-01,-3.104438781738281250e-01,3.270724043250083923e-02,-1.171506524085998535e+00
1.788365396676407814e+09,-8.681409806013107300e-02,-1.137401312589645386e-01,1.838793158531188965e-01,9.053635597229003906e-01,-2.963513433933258057e-01,4.123479500412940979e-02,-1.191330790519714355e+00
1.788365396766308546e+09,-9.954680502414703369e-02,-9.942592680454254150e-02,1.976770907640457153e-01,9.274052381515502930e-01,-2.821537852287292480e-01,5.179836973547935486e-02,-1.210015416145324707e+00
1.788365396857117891e+09,-1.101961806416511536e-01,-8.582882583141326904e-02,2.110753655433654785e-01,9.474623799324035645e-01,-2.678135335445404053e-01,6.375379115343093872e-02,-1.228024125099182129e+00
1.788365396950904131e+09,-1.187622174620628357e-01,-7.296146452426910400e-02,2.242056131362915039e-01,9.657709598541259766e-01,-2.533500492572784424e-01,7.651063054800033569e-02,-1.245571017265319824e+00
