t_recv,t_send,step_idx,arm_target_0,arm_target_1,arm_target_2,arm_target_3,arm_target_4,arm_target_5,arm_target_6,grip_cmd
1788154322.707773,1788154322.707507,0,-0.009592,-0.374678,0.001288,0.930996,-0.465680,-0.002781,-0.328675,0.044000
1788154322.868446,1788154322.868234,1,0.000943,-0.372045,0.008103,0.925917,-0.465111,-0.009830,-0.324702,0.044000
1788154322.976042,1788154322.975767,2,0.018059,-0.367060,0.021341,0.918014,-0.462980,-0.021451,-0.318159,0.044000
1788154323.080716,1788154323.080499,3,0.040082,-0.358666,0.042225,0.906763,-0.458417,-0.036701,-0.308346,0.044000
1788154323.186970,1788154323.186771,4,0.064335,-0.346751,0.071085,0.892440,-0.450617,-0.054948,-0.294867,0.044000
1788154323.293962,1788154323.293618,5,0.087835,-0.332257,0.107772,0.876070,-0.438525,-0.076044,-0.277740,0.044000
1788154323.386225,1788154323.386010,6,0.108252,-0.316123,0.149775,0.859356,-0.421446,-0.100002,-0.257875,0.044000
1788154323.489422,1788154323.489186,7,0.123463,-0.302654,0.192080,0.852895,-0.362314,-0.110211,-0.263463,0.044000
1788154323.594771,1788154323.593475,8,0.122816,-0.307424,0.214299,0.854622,-0.334695,-0.114820,-0.265979,0.044000
1788154323.682424,1788154323.682184,9,0.117548,-0.312641,0.240550,0.855619,-0.306997,-0.123030,-0.266458,0.044000
1788154323.794737,1788154323.794530,10,0.104315,-0.317733,0.270290,0.854116,-0.282319,-0.137471,-0.261620,0.044000
1788154323.904983,1788154323.904787,11,0.082340,-0.322409,0.305368,0.850216,-0.261069,-0.158883,-0.250891,0.044000
1788154324.006217,1788154324.006012,12,0.052426,-0.326075,0.344660,0.843647,-0.242264,-0.185963,-0.234692,0.043741
1788154324.100768,1788154324.100276,13,0.017019,-0.329638,0.382587,0.834783,-0.223614,-0.213410,-0.216787,0.043928
1788154324.196101,1788154324.195916,14,-0.022549,-0.336133,0.412379,0.823010,-0.208962,-0.237353,-0.199434,0.043964
1788154324.293048,1788154324.292840,15,-0.064021,-0.346085,0.430490,0.806046,-0.200959,-0.255454,-0.182104,0.043930
1788154324.378949,1788154324.378608,16,-0.105864,-0.357917,0.437759,0.782934,-0.197625,-0.267774,-0.163770,0.043910
1788154324.478235,1788154324.477875,17,-0.147578,-0.370068,0.438138,0.755317,-0.195746,-0.276342,-0.144566,0.043925
1788154324.583379,1788154324.583121,18,-0.188897,-0.380413,0.434095,0.724901,-0.194682,-0.282425,-0.125064,0.043963
1788154324.664551,1788154324.664371,19,-0.229018,-0.387119,0.427018,0.693344,-0.194644,-0.286900,-0.105959,0.044000
1788154324.763182,1788154324.762995,20,-0.265767,-0.389277,0.424596,0.663311,-0.195980,-0.294555,-0.088124,0.044000
1788154324.882004,1788154324.881794,21,-0.295380,-0.383354,0.427739,0.635230,-0.200762,-0.305886,-0.071557,0.044000
1788154324.991821,1788154324.991594,22,-0.320945,-0.366537,0.427054,0.607094,-0.204842,-0.313910,-0.055671,0.044000
1788154325.111012,1788154325.110779,23,-0.344121,-0.341694,0.419618,0.580850,-0.207201,-0.315501,-0.042556,0.044000
1788154325.220439,1788154325.220071,24,-0.364576,-0.313244,0.412034,0.560051,-0.212362,-0.309994,-0.033115,0.044000
1788154325.328587,1788154325.328404,25,-0.384622,-0.284298,0.404539,0.542099,-0.220302,-0.300060,-0.024349,0.044000
1788154325.419688,1788154325.419466,26,-0.405378,-0.257419,0.396692,0.526195,-0.229544,-0.284967,-0.014641,0.043987
1788154325.517344,1788154325.517119,27,-0.427148,-0.233749,0.387177,0.513259,-0.238243,-0.263744,-0.004834,0.043974
1788154325.623546,1788154325.623364,28,-0.449776,-0.212684,0.374398,0.504207,-0.246455,-0.237185,0.003577,0.039826
1788154325.727151,1788154325.726811,29,-0.472420,-0.194472,0.360821,0.499252,-0.253252,-0.207808,0.010293,0.035702
1788154325.834086,1788154325.833862,30,-0.494712,-0.179148,0.348196,0.496106,-0.256772,-0.179968,0.016503,0.031726
1788154325.943460,1788154325.943230,31,-0.516800,-0.167555,0.338267,0.493280,-0.258568,-0.157709,0.022098,0.029695
1788154326.049903,1788154326.049722,32,-0.538983,-0.160236,0.330436,0.490592,-0.259776,-0.143429,0.026962,0.028709
1788154326.157360,1788154326.157128,33,-0.559725,-0.157720,0.323926,0.489448,-0.260916,-0.138339,0.030387,0.028190
1788154326.264671,1788154326.264471,34,-0.577547,-0.159724,0.318200,0.491715,-0.262204,-0.141396,0.031568,0.027601
1788154326.372010,1788154326.371774,35,-0.591212,-0.165483,0.312828,0.498557,-0.264034,-0.150528,0.030069,0.027116
1788154326.494467,1788154326.491801,36,-0.599797,-0.173764,0.306612,0.510456,-0.267355,-0.162479,0.025545,0.026694
1788154326.610274,1788154326.609883,37,-0.603106,-0.183776,0.299506,0.527413,-0.271450,-0.175264,0.018199,0.026350
1788154326.709306,1788154326.709136,38,-0.601288,-0.195031,0.291745,0.549410,-0.275870,-0.187980,0.008182,0.026026
1788154326.820693,1788154326.820492,39,-0.594522,-0.207028,0.283185,0.576366,-0.280677,-0.199257,-0.004463,0.025777
1788154326.921126,1788154326.920960,40,-0.582999,-0.219145,0.273289,0.607915,-0.286140,-0.207154,-0.019657,0.025572
